Repository Name,Repository Location,Source Code Present,Documentation Present,Tests Present,Configs Present,Assets Present
logo_3,plugins\cloud_security\logo_3,No,Yes,No,No,No
main_13,plugins\cloud_security\main_13,No,Yes,No,Yes,No
main_menu,plugins\cloud_security\main_menu,No,Yes,No,No,No
Makefile,plugins\cloud_security\Makefile,No,Yes,No,No,No
mindmap_obsidian,plugins\cloud_security\mindmap_obsidian,No,Yes,No,No,No
misconfig-detector,plugins\cloud_security\misconfig-detector,No,Yes,No,Yes,No
misconfigtest,plugins\cloud_security\misconfigtest,No,Yes,No,Yes,No
mobile-pentester,plugins\cloud_security\mobile-pentester,No,Yes,No,No,No
mode,plugins\cloud_security\mode,No,Yes,No,Yes,No
orchestrator,plugins\cloud_security\orchestrator,No,Yes,No,No,No
osint,plugins\cloud_security\osint,No,No,No,No,No
outputs,plugins\cloud_security\outputs,No,Yes,No,No,No
package_3,plugins\cloud_security\package_3,No,Yes,No,No,No
pacu,plugins\cloud_security\pacu,No,Yes,No,No,No
pentestgpt_executor,plugins\cloud_security\pentestgpt_executor,No,Yes,No,Yes,No
PentestGPT_Hackable2,plugins\cloud_security\PentestGPT_Hackable2,No,Yes,No,No,No
plugins,plugins\cloud_security\plugins,No,Yes,No,Yes,No
pnpm-lock,plugins\cloud_security\pnpm-lock,No,Yes,No,No,No
poc-validator,plugins\cloud_security\poc-validator,No,Yes,No,No,No
pre-recon-code,plugins\cloud_security\pre-recon-code,No,Yes,No,No,No
privesc-advisor,plugins\cloud_security\privesc-advisor,No,Yes,No,No,No
privesc_agent,plugins\cloud_security\privesc_agent,No,Yes,No,Yes,No
prowler,plugins\cloud_security\prowler,No,Yes,No,No,No
pyproject_3,plugins\cloud_security\pyproject_3,No,Yes,No,No,No
quick-start,plugins\cloud_security\quick-start,No,Yes,No,No,No
README_21,plugins\cloud_security\README_21,No,Yes,No,No,No
README_22,plugins\cloud_security\README_22,No,Yes,No,No,No
README_28,plugins\cloud_security\README_28,No,Yes,No,No,No
README_29,plugins\cloud_security\README_29,No,Yes,No,No,No
README_30,plugins\cloud_security\README_30,No,Yes,No,No,No
reconx,plugins\cloud_security\reconx,Yes,Yes,No,Yes,No
release-beta,plugins\cloud_security\release-beta,No,Yes,No,No,No
release_1,plugins\cloud_security\release_1,No,Yes,No,No,No
requirements_7,plugins\cloud_security\requirements_7,No,Yes,No,No,No
resolver,plugins\cloud_security\resolver,No,Yes,No,Yes,No
results,plugins\cloud_security\results,No,Yes,No,No,No
role-management,plugins\cloud_security\role-management,No,Yes,No,No,No
rollback,plugins\cloud_security\rollback,No,Yes,No,No,No
sarif,plugins\cloud_security\sarif,No,Yes,No,Yes,No
scan_pipeline,plugins\cloud_security\scan_pipeline,No,Yes,No,Yes,No
scan_running,plugins\cloud_security\scan_running,No,Yes,No,No,No
scout-suite,plugins\cloud_security\scout-suite,No,Yes,No,No,No
Screenshot2,plugins\cloud_security\Screenshot2,No,Yes,No,No,No
Screenshot3,plugins\cloud_security\Screenshot3,No,Yes,No,No,No
Screenshot4,plugins\cloud_security\Screenshot4,No,Yes,No,No,No
secret-scanner-agent,plugins\cloud_security\secret-scanner-agent,No,Yes,No,Yes,No
secure_credential,plugins\cloud_security\secure_credential,No,Yes,No,Yes,No
security,plugins\cloud_security\security,No,Yes,No,No,No
SECURITY_3,plugins\cloud_security\SECURITY_3,No,Yes,No,No,No
selection_agent,plugins\cloud_security\selection_agent,No,Yes,No,Yes,No
server_mcp_pentest_18,plugins\cloud_security\server_mcp_pentest_18,No,Yes,No,No,No
service_analyzer,plugins\cloud_security\service_analyzer,No,Yes,No,Yes,No
service_correlator_1,plugins\cloud_security\service_correlator_1,No,Yes,No,Yes,No
settings,plugins\cloud_security\settings,No,No,No,No,No
settings_2,plugins\cloud_security\settings_2,No,Yes,No,No,No
setup,plugins\cloud_security\setup,No,Yes,No,Yes,No
setup_1,plugins\cloud_security\setup_1,No,Yes,No,Yes,No
shannon-banner,plugins\cloud_security\shannon-banner,No,Yes,No,No,No
SHANNON-PRO_1,plugins\cloud_security\SHANNON-PRO_1,No,Yes,No,No,No
shannon-report-capital-api,plugins\cloud_security\shannon-report-capital-api,No,Yes,No,No,No
shannon-screen,plugins\cloud_security\shannon-screen,No,Yes,No,No,No
shodan,plugins\cloud_security\shodan,No,Yes,No,Yes,No
six2dez_reconftw-stars-history,plugins\cloud_security\six2dez_reconftw-stars-history,No,Yes,No,No,No
skills,plugins\cloud_security\skills,No,No,No,No,No
SKILL_1,plugins\cloud_security\SKILL_1,No,Yes,No,No,No
SKILL_14,plugins\cloud_security\SKILL_14,No,Yes,No,No,No
SKILL_16,plugins\cloud_security\SKILL_16,No,Yes,No,No,No
SKILL_17,plugins\cloud_security\SKILL_17,No,Yes,No,No,No
SKILL_4,plugins\cloud_security\SKILL_4,No,Yes,No,No,No
social-engineer,plugins\cloud_security\social-engineer,No,Yes,No,No,No
sponsor-wechat-alipay-qr,plugins\cloud_security\sponsor-wechat-alipay-qr,No,Yes,No,No,No
ssrf_payloads,plugins\cloud_security\ssrf_payloads,No,Yes,No,No,No
status,plugins\cloud_security\status,No,No,No,No,No
stop,plugins\cloud_security\stop,No,Yes,No,Yes,No
tch,plugins\cloud_security\tch,No,Yes,No,No,No
tcp_beacon_server,plugins\cloud_security\tcp_beacon_server,No,Yes,No,Yes,No
teardown,plugins\cloud_security\teardown,Yes,Yes,No,No,No
techdetect,plugins\cloud_security\techdetect,No,Yes,No,Yes,No
terraform-reconFTW,plugins\cloud_security\terraform-reconFTW,No,Yes,No,No,No
test_ad_agent_e2e_smoke,plugins\cloud_security\test_ad_agent_e2e_smoke,No,Yes,No,Yes,No
test_agents,plugins\cloud_security\test_agents,No,Yes,No,Yes,No
test_benchmark_cli,plugins\cloud_security\test_benchmark_cli,No,Yes,No,Yes,No
test_chain_context_discriminator,plugins\cloud_security\test_chain_context_discriminator,No,Yes,No,Yes,No
test_cli_menu,plugins\cloud_security\test_cli_menu,No,Yes,No,Yes,No
test_cloud_agent_e2e_smoke,plugins\cloud_security\test_cloud_agent_e2e_smoke,No,Yes,No,Yes,No
test_container_health,plugins\cloud_security\test_container_health,No,Yes,No,Yes,No
test_docker_build,plugins\cloud_security\test_docker_build,No,Yes,No,Yes,No
test_flag_detection,plugins\cloud_security\test_flag_detection,No,Yes,No,Yes,No
test_litellm_provider,plugins\cloud_security\test_litellm_provider,No,Yes,No,Yes,No
test_misc_coverage_2,plugins\cloud_security\test_misc_coverage_2,No,Yes,No,Yes,No
test_osint_domain_info_msftrecon,plugins\cloud_security\test_osint_domain_info_msftrecon,No,No,No,No,No
test_providers_and_small_agents,plugins\cloud_security\test_providers_and_small_agents,No,Yes,No,Yes,No
test_selection_agent,plugins\cloud_security\test_selection_agent,No,Yes,No,Yes,No
trufflehog,plugins\cloud_security\trufflehog,No,Yes,No,Yes,No
type_confusion,plugins\cloud_security\type_confusion,No,Yes,No,Yes,No
uninstall,plugins\cloud_security\uninstall,No,Yes,No,Yes,No
USAGE,plugins\cloud_security\USAGE,No,Yes,No,No,No
usage_input,plugins\cloud_security\usage_input,No,Yes,No,No,No
usage_output,plugins\cloud_security\usage_output,No,Yes,No,No,No
usage_server1,plugins\cloud_security\usage_server1,No,Yes,No,No,No
usage_server2,plugins\cloud_security\usage_server2,No,Yes,No,No,No
variables,plugins\cloud_security\variables,No,Yes,No,No,No
vectorDB,plugins\cloud_security\vectorDB,No,Yes,No,Yes,No
vuln-auth,plugins\cloud_security\vuln-auth,No,Yes,No,No,No
vuln-authz,plugins\cloud_security\vuln-authz,No,Yes,No,No,No
vuln-authz_2,plugins\cloud_security\vuln-authz_2,No,Yes,No,No,No
vuln-auth_2,plugins\cloud_security\vuln-auth_2,No,Yes,No,No,No
vuln-injection,plugins\cloud_security\vuln-injection,No,Yes,No,No,No
vuln-injection_2,plugins\cloud_security\vuln-injection_2,No,Yes,No,No,No
vuln-xss,plugins\cloud_security\vuln-xss,No,Yes,No,No,No
vuln-xss_2,plugins\cloud_security\vuln-xss_2,No,Yes,No,No,No
vulnerability-management,plugins\cloud_security\vulnerability-management,No,Yes,No,No,No
waf-detector-agent,plugins\cloud_security\waf-detector-agent,No,Yes,No,Yes,No
wafw00f,plugins\cloud_security\wafw00f,No,Yes,No,Yes,No
web-console,plugins\cloud_security\web-console,No,Yes,No,No,No
wechat-group-cyberstrikeai-qr,plugins\cloud_security\wechat-group-cyberstrikeai-qr,No,Yes,No,No,No
whois,plugins\cloud_security\whois,No,Yes,No,No,No
workflow_center,plugins\cloud_security\workflow_center,No,Yes,No,Yes,No
workspaces,plugins\cloud_security\workspaces,No,Yes,No,Yes,No
zh-CN,plugins\cloud_security\zh-CN,No,Yes,No,No,No
_10,plugins\cloud_security\_10,No,Yes,No,No,No
__init___119,plugins\cloud_security\__init___119,No,Yes,No,Yes,No
__init___26,plugins\cloud_security\__init___26,No,Yes,No,Yes,No
__init___78,plugins\cloud_security\__init___78,No,Yes,No,Yes,No
common,plugins\ctf_automation\common,No,Yes,No,No,No
hashpump,plugins\ctf_automation\hashpump,No,No,No,No,No
libc-database,plugins\ctf_automation\libc-database,No,No,No,No,No
linpeas,plugins\ctf_automation\linpeas,No,No,No,No,No
one-gadget,plugins\ctf_automation\one-gadget,No,No,No,No,No
output_parser,plugins\ctf_automation\output_parser,No,No,No,No,No
pwninit,plugins\ctf_automation\pwninit,No,No,No,No,No
README_31,plugins\ctf_automation\README_31,No,No,No,No,No
score_juiceshop,plugins\ctf_automation\score_juiceshop,No,No,No,No,No
steghide,plugins\ctf_automation\steghide,No,No,No,No,No
test_session,plugins\ctf_automation\test_session,No,No,No,No,No
zsteg,plugins\ctf_automation\zsteg,No,No,No,No,No
__init___219,plugins\ctf_automation\__init___219,No,No,No,No,No
AGENT-GUIDE,plugins\exploitation\AGENT-GUIDE,No,No,No,No,No
agents,plugins\exploitation\agents,No,Yes,No,Yes,No
agent_mode_controller,plugins\exploitation\agent_mode_controller,No,No,No,No,No
attackchain_1,plugins\exploitation\attackchain_1,No,No,No,No,No
balanced-active-scan,plugins\exploitation\balanced-active-scan,No,No,No,No,No
BigQueryInjection,plugins\exploitation\BigQueryInjection,No,No,No,No,No
cache,plugins\exploitation\cache,No,No,No,No,No
CassandraInjection,plugins\exploitation\CassandraInjection,No,No,No,No,No
checkpoint-provider,plugins\exploitation\checkpoint-provider,No,No,No,No,No
common,plugins\exploitation\common,No,Yes,No,No,No
concurrency,plugins\exploitation\concurrency,No,No,No,No,No
constants,plugins\exploitation\constants,No,No,No,No,No
container,plugins\exploitation\container,No,No,No,No,No
context,plugins\exploitation\context,No,No,No,No,No
conversation_1,plugins\exploitation\conversation_1,No,No,No,No,No
cve_mapper,plugins\exploitation\cve_mapper,No,No,No,No,No
cvss,plugins\exploitation\cvss,No,No,No,No,No
database,plugins\exploitation\database,No,No,No,No,No
DB2Injection,plugins\exploitation\DB2Injection,No,No,No,No,No
db_1,plugins\exploitation\db_1,No,No,No,No,No
db_test,plugins\exploitation\db_test,No,No,No,No,No
deliverables,plugins\exploitation\deliverables,No,No,No,No,No
detection_agent,plugins\exploitation\detection_agent,No,No,No,No,No
eino_adk_run_loop,plugins\exploitation\eino_adk_run_loop,No,No,No,No,No
eino_meta_test,plugins\exploitation\eino_meta_test,No,No,No,No,No
eino_retriever_adapter,plugins\exploitation\eino_retriever_adapter,No,No,No,No,No
eino_retrieve_chain,plugins\exploitation\eino_retrieve_chain,No,No,No,No,No
eino_sqlite_indexer,plugins\exploitation\eino_sqlite_indexer,No,No,No,No,No
endpoint-prober,plugins\exploitation\endpoint-prober,No,No,No,No,No
ErrorPatternAnalyzer,plugins\exploitation\ErrorPatternAnalyzer,No,No,No,No,No
exploit-auth_1,plugins\exploitation\exploit-auth_1,No,No,No,No,No
exploit-auth_3,plugins\exploitation\exploit-auth_3,No,No,No,No,No
exploit-injection_1,plugins\exploitation\exploit-injection_1,No,No,No,No,No
exploit-injection_3,plugins\exploitation\exploit-injection_3,No,No,No,No,No
exploit-ssrf_1,plugins\exploitation\exploit-ssrf_1,No,No,No,No,No
exploit-ssrf_3,plugins\exploitation\exploit-ssrf_3,No,No,No,No,No
exploit-xss_1,plugins\exploitation\exploit-xss_1,No,No,No,No,No
exploit-xss_3,plugins\exploitation\exploit-xss_3,No,No,No,No,No
exploitation-checker,plugins\exploitation\exploitation-checker,No,No,No,No,No
export,plugins\exploitation\export,No,No,No,No,No
export-metrics,plugins\exploitation\export-metrics,No,No,No,No,No
finalizers,plugins\exploitation\finalizers,No,No,No,No,No
findings,plugins\exploitation\findings,No,Yes,No,No,No
FINDINGS-DB,plugins\exploitation\FINDINGS-DB,No,No,No,No,No
findings-provider,plugins\exploitation\findings-provider,No,No,No,No,No
findings-renderer,plugins\exploitation\findings-renderer,No,No,No,No,No
generators,plugins\exploitation\generators,No,No,No,No,No
gowitness,plugins\exploitation\gowitness,No,No,No,No,No
Hackable2_3,plugins\exploitation\Hackable2_3,No,No,No,No,No
handoff,plugins\exploitation\handoff,No,No,No,No,No
index_3,plugins\exploitation\index_3,No,No,No,No,No
index_pipeline,plugins\exploitation\index_pipeline,No,No,No,No,No
Kioptrix_level_1,plugins\exploitation\Kioptrix_level_1,No,No,No,No,No
listener_http_test,plugins\exploitation\listener_http_test,No,No,No,No,No
manager,plugins\exploitation\manager,No,No,No,No,No
manager_start_test,plugins\exploitation\manager_start_test,No,No,No,No,No
menu_system,plugins\exploitation\menu_system,No,No,No,No,No
metasploit,plugins\exploitation\metasploit,No,No,No,No,No
metasploit_aux,plugins\exploitation\metasploit_aux,No,No,No,No,No
metatron,plugins\exploitation\metatron,No,No,No,No,No
metrics-tracker,plugins\exploitation\metrics-tracker,No,No,No,No,No
migrate,plugins\exploitation\migrate,No,No,No,No,No
net-recon-agent,plugins\exploitation\net-recon-agent,No,No,No,No,No
nikto,plugins\exploitation\nikto,No,No,No,No,No
nmap-distccd,plugins\exploitation\nmap-distccd,No,No,No,No,No
nmap_2,plugins\exploitation\nmap_2,No,No,No,No,No
notification,plugins\exploitation\notification,No,No,No,No,No
output-formatter,plugins\exploitation\output-formatter,No,No,No,No,No
output-formatters,plugins\exploitation\output-formatters,No,No,No,No,No
payloads,plugins\exploitation\payloads,No,No,No,No,No
pentestTarget,plugins\exploitation\pentestTarget,No,No,No,No,No
pipeline,plugins\exploitation\pipeline,No,No,No,No,No
primitives,plugins\exploitation\primitives,No,No,No,No,No
prompt_class,plugins\exploitation\prompt_class,No,No,No,No,No
pwntools,plugins\exploitation\pwntools,No,No,No,No,No
query-execution-result,plugins\exploitation\query-execution-result,No,No,No,No,No
queue-schemas,plugins\exploitation\queue-schemas,No,No,No,No,No
queue-validation,plugins\exploitation\queue-validation,No,No,No,No,No
report-executive,plugins\exploitation\report-executive,No,No,No,No,No
report-executive_3,plugins\exploitation\report-executive_3,No,No,No,No,No
report-generator,plugins\exploitation\report-generator,No,No,No,No,No
reporting,plugins\exploitation\reporting,Yes,No,No,No,No
requester,plugins\exploitation\requester,No,No,No,No,No
requestercpython-313,plugins\exploitation\requestercpython-313,No,No,No,No,No
retriever,plugins\exploitation\retriever,No,No,No,No,No
schema,plugins\exploitation\schema,No,No,No,No,No
schema_migrate,plugins\exploitation\schema_migrate,No,No,No,No,No
session-manager,plugins\exploitation\session-manager,No,No,No,No,No
settings-writer,plugins\exploitation\settings-writer,No,No,No,No,No
SKILL_10,plugins\exploitation\SKILL_10,No,No,No,No,No
SKILL_15,plugins\exploitation\SKILL_15,No,No,No,No,No
SKILL_21,plugins\exploitation\SKILL_21,No,No,No,No,No
target,plugins\exploitation\target,No,No,No,No,No
task,plugins\exploitation\task,No,No,No,No,No
test_aup_consent,plugins\exploitation\test_aup_consent,No,No,No,No,No
test_benchmark_registry,plugins\exploitation\test_benchmark_registry,No,No,No,No,No
test_chain_dedup,plugins\exploitation\test_chain_dedup,No,No,No,No,No
test_chain_validation,plugins\exploitation\test_chain_validation,No,No,No,No,No
test_cve_db,plugins\exploitation\test_cve_db,No,No,No,No,No
test_cvss,plugins\exploitation\test_cvss,No,No,No,No,No
test_diff,plugins\exploitation\test_diff,No,No,No,No,No
test_findings,plugins\exploitation\test_findings,No,No,No,No,No
test_findings_db_reaper,plugins\exploitation\test_findings_db_reaper,No,No,No,No,No
test_findings_db_reconciler,plugins\exploitation\test_findings_db_reconciler,No,No,No,No,No
test_handler_finalizers,plugins\exploitation\test_handler_finalizers,No,No,No,No,No
test_intensity_safe,plugins\exploitation\test_intensity_safe,No,No,No,No,No
test_orchestrator,plugins\exploitation\test_orchestrator,No,No,No,No,No
test_probe_cookie_prefix_bypass,plugins\exploitation\test_probe_cookie_prefix_bypass,No,No,No,No,No
test_probe_jwt_jku_x5u_ssrf,plugins\exploitation\test_probe_jwt_jku_x5u_ssrf,No,No,No,No,No
test_probe_nextjs_rsc_rce,plugins\exploitation\test_probe_nextjs_rsc_rce,No,No,No,No,No
test_probe_saml_xsw,plugins\exploitation\test_probe_saml_xsw,No,No,No,No,No
test_probe_sqli_login_bypass,plugins\exploitation\test_probe_sqli_login_bypass,No,No,No,No,No
test_sarif,plugins\exploitation\test_sarif,No,No,No,No,No
test_webhooks,plugins\exploitation\test_webhooks,No,No,No,No,No
tls-analyzer,plugins\exploitation\tls-analyzer,No,No,No,No,No
TOKEN-OPTIMIZATION,plugins\exploitation\TOKEN-OPTIMIZATION,No,No,No,No,No
tool,plugins\exploitation\tool,No,No,No,No,No
types_5,plugins\exploitation\types_5,No,No,No,No,No
vuln-authz_3,plugins\exploitation\vuln-authz_3,No,No,No,No,No
vuln-injection_3,plugins\exploitation\vuln-injection_3,No,No,No,No,No
vuln-mapper,plugins\exploitation\vuln-mapper,No,No,No,No,No
vuln-mappertest,plugins\exploitation\vuln-mappertest,No,No,No,No,No
vuln-ssrf_1,plugins\exploitation\vuln-ssrf_1,No,No,No,No,No
vuln-xss_1,plugins\exploitation\vuln-xss_1,No,No,No,No,No
vuln-xss_3,plugins\exploitation\vuln-xss_3,No,No,No,No,No
worker,plugins\exploitation\worker,No,Yes,No,Yes,No
working_memory,plugins\exploitation\working_memory,No,No,No,No,No
xsser,plugins\exploitation\xsser,No,No,No,No,No
_exploit-scope,plugins\exploitation\_exploit-scope,No,No,No,No,No
_exploit-scope_1,plugins\exploitation\_exploit-scope_1,No,No,No,No,No
_vuln-scope,plugins\exploitation\_vuln-scope,No,No,No,No,No
_vuln-scope_1,plugins\exploitation\_vuln-scope_1,No,No,No,No,No
active,plugins\infrastructure\active,No,No,No,No,No
active_test,plugins\infrastructure\active_test,No,No,No,No,No
auth,plugins\infrastructure\auth,No,Yes,No,Yes,No
auth_manager,plugins\infrastructure\auth_manager,No,No,No,No,No
basic_scan,plugins\infrastructure\basic_scan,No,No,No,No,No
beacon_host,plugins\infrastructure\beacon_host,No,No,No,No,No
brute,plugins\infrastructure\brute,No,No,No,No,No
bruteforce-ftp,plugins\infrastructure\bruteforce-ftp,No,No,No,No,No
bruteforce-http,plugins\infrastructure\bruteforce-http,No,No,No,No,No
bruteforce-rdp,plugins\infrastructure\bruteforce-rdp,No,No,No,No,No
bruteforce-smb,plugins\infrastructure\bruteforce-smb,No,No,No,No,No
bruteforce-ssh,plugins\infrastructure\bruteforce-ssh,No,No,No,No,No
brute_test,plugins\infrastructure\brute_test,No,No,No,No,No
cgo_specific,plugins\infrastructure\cgo_specific,No,No,No,No,No
check-env,plugins\infrastructure\check-env,No,No,No,No,No
client_2,plugins\infrastructure\client_2,No,No,No,No,No
client_sdk,plugins\infrastructure\client_sdk,No,No,No,No,No
codeclimate,plugins\infrastructure\codeclimate,No,No,No,No,No
common,plugins\infrastructure\common,No,Yes,No,No,No
config_2,plugins\infrastructure\config_2,No,Yes,No,Yes,No
config_4,plugins\infrastructure\config_4,No,Yes,No,Yes,No
curl-known-security,plugins\infrastructure\curl-known-security,No,No,No,No,No
curl-robots,plugins\infrastructure\curl-robots,No,No,No,No,No
CyberStrikeAIClient1,plugins\infrastructure\CyberStrikeAIClient1,No,No,No,No,No
datasrcs_test,plugins\infrastructure\datasrcs_test,No,No,No,No,No
deepsource,plugins\infrastructure\deepsource,No,No,No,No,No
dependabot_2,plugins\infrastructure\dependabot_2,No,No,No,No,No
eino_retrieve_chain_test,plugins\infrastructure\eino_retrieve_chain_test,No,No,No,No,No
entrypoint_1,plugins\infrastructure\entrypoint_1,No,No,No,No,No
enum4linux,plugins\infrastructure\enum4linux,No,No,No,No,No
env,plugins\infrastructure\env,No,Yes,No,Yes,No
envexpand,plugins\infrastructure\envexpand,No,No,No,No,No
env_1,plugins\infrastructure\env_1,No,No,No,No,No
error,plugins\infrastructure\error,No,No,No,No,No
eslintconfig,plugins\infrastructure\eslintconfig,No,No,No,No,No
execute-python-script,plugins\infrastructure\execute-python-script,No,No,No,No,No
external_manager,plugins\infrastructure\external_manager,No,No,No,No,No
external_manager_test,plugins\infrastructure\external_manager_test,No,No,No,No,No
external_mcp,plugins\infrastructure\external_mcp,No,No,No,No,No
falco,plugins\infrastructure\falco,No,No,No,No,No
generate-totp,plugins\infrastructure\generate-totp,No,No,No,No,No
get-arch,plugins\infrastructure\get-arch,No,No,No,No,No
gitleaks,plugins\infrastructure\gitleaks,No,Yes,No,No,No
goreleaser,plugins\infrastructure\goreleaser,No,Yes,No,No,No
home,plugins\infrastructure\home,No,Yes,No,Yes,No
index_14,plugins\infrastructure\index_14,No,No,No,No,No
index_7,plugins\infrastructure\index_7,No,No,No,No,No
install-python-package,plugins\infrastructure\install-python-package,No,No,No,No,No
issue_importer,plugins\infrastructure\issue_importer,No,No,No,No,No
jaeles,plugins\infrastructure\jaeles,No,No,No,No,No
ldap-search,plugins\infrastructure\ldap-search,No,No,No,No,No
lint,plugins\infrastructure\lint,No,No,No,No,No
logger,plugins\infrastructure\logger,No,No,No,No,No
loggercpython-313,plugins\infrastructure\loggercpython-313,No,No,No,No,No
logger_2,plugins\infrastructure\logger_2,No,No,No,No,No
lookup-sid,plugins\infrastructure\lookup-sid,No,No,No,No,No
main_14,plugins\infrastructure\main_14,No,No,No,No,No
main_15,plugins\infrastructure\main_15,No,No,No,No,No
main_server_http_redirect,plugins\infrastructure\main_server_http_redirect,No,No,No,No,No
main_server_http_redirect_test,plugins\infrastructure\main_server_http_redirect_test,No,No,No,No,No
mcp_reverse_shell,plugins\infrastructure\mcp_reverse_shell,No,No,No,No,No
meta,plugins\infrastructure\meta,No,Yes,No,Yes,No
nbtscan,plugins\infrastructure\nbtscan,No,No,No,No,No
nikto,plugins\infrastructure\nikto,No,No,No,No,No
nmap-finger,plugins\infrastructure\nmap-finger,No,No,No,No,No
nmap-kerberos,plugins\infrastructure\nmap-kerberos,No,No,No,No,No
nmap-msrpc,plugins\infrastructure\nmap-msrpc,No,No,No,No,No
nmap-nntp,plugins\infrastructure\nmap-nntp,No,No,No,No,No
nmap-redis,plugins\infrastructure\nmap-redis,No,No,No,No,No
nmap-rmi,plugins\infrastructure\nmap-rmi,No,No,No,No,No
nmap-sip,plugins\infrastructure\nmap-sip,No,No,No,No,No
nmap-ssh,plugins\infrastructure\nmap-ssh,No,No,No,No,No
nmap-telnet,plugins\infrastructure\nmap-telnet,No,No,No,No,No
nmap-tftp,plugins\infrastructure\nmap-tftp,No,No,No,No,No
nmap_tool_1,plugins\infrastructure\nmap_tool_1,No,No,No,No,No
onesixtyone,plugins\infrastructure\onesixtyone,No,No,No,No,No
oracle-odat,plugins\infrastructure\oracle-odat,No,No,No,No,No
oracle-scanner,plugins\infrastructure\oracle-scanner,No,No,No,No,No
oracle-tnscmd,plugins\infrastructure\oracle-tnscmd,No,No,No,No,No
parallel_scans,plugins\infrastructure\parallel_scans,No,No,No,No,No
paths,plugins\infrastructure\paths,No,No,No,No,No
portscan-top-tcp-ports,plugins\infrastructure\portscan-top-tcp-ports,No,No,No,No,No
pre-commit-config_1,plugins\infrastructure\pre-commit-config_1,No,No,No,No,No
process_registry,plugins\infrastructure\process_registry,No,No,No,No,No
pyproject_5,plugins\infrastructure\pyproject_5,No,No,No,No,No
README_CN,plugins\infrastructure\README_CN,No,No,No,No,No
README_CN_2,plugins\infrastructure\README_CN_2,No,No,No,No,No
reconFTW,plugins\infrastructure\reconFTW,No,Yes,No,No,No
redirect-host-discovery,plugins\infrastructure\redirect-host-discovery,No,No,No,No,No
redis-cli,plugins\infrastructure\redis-cli,No,No,No,No,No
registry_2,plugins\infrastructure\registry_2,No,No,No,No,No
release,plugins\infrastructure\release,No,Yes,No,No,No
requirements_14,plugins\infrastructure\requirements_14,No,No,No,No,No
requirements_15,plugins\infrastructure\requirements_15,No,No,No,No,No
requirements_5,plugins\infrastructure\requirements_5,No,No,No,No,No
resiliencetest,plugins\infrastructure\resiliencetest,No,No,No,No,No
resolvers_test,plugins\infrastructure\resolvers_test,No,No,No,No,No
resources,plugins\infrastructure\resources,No,No,No,No,No
retrieval_postprocess_test,plugins\infrastructure\retrieval_postprocess_test,No,No,No,No,No
rigid,plugins\infrastructure\rigid,No,No,No,No,No
rigid_test,plugins\infrastructure\rigid_test,No,No,No,No,No
rpcclient,plugins\infrastructure\rpcclient,No,No,No,No,No
rpcdump,plugins\infrastructure\rpcdump,No,No,No,No,No
rsync-list-files,plugins\infrastructure\rsync-list-files,No,No,No,No,No
run,plugins\infrastructure\run,No,No,No,No,No
run-shannon-blackbox,plugins\infrastructure\run-shannon-blackbox,No,No,No,No,No
run_all,plugins\infrastructure\run_all,No,No,No,No,No
run_bench,plugins\infrastructure\run_bench,No,No,No,No,No
rustscan,plugins\infrastructure\rustscan,No,No,No,No,No
rustscan_tool,plugins\infrastructure\rustscan_tool,No,No,No,No,No
save-deliverable,plugins\infrastructure\save-deliverable,No,No,No,No,No
server_https_bootstrap,plugins\infrastructure\server_https_bootstrap,No,No,No,No,No
shannon,plugins\infrastructure\shannon,No,Yes,No,No,No
showmount,plugins\infrastructure\showmount,No,No,No,No,No
sipvicious,plugins\infrastructure\sipvicious,No,No,No,No,No
sleep,plugins\infrastructure\sleep,No,No,No,No,No
smb-vuln,plugins\infrastructure\smb-vuln,No,No,No,No,No
smbclient,plugins\infrastructure\smbclient,No,No,No,No,No
smbmap,plugins\infrastructure\smbmap,No,No,No,No,No
snmpwalk,plugins\infrastructure\snmpwalk,No,No,No,No,No
SslTrustAll,plugins\infrastructure\SslTrustAll,No,No,No,No,No
subprocess_mixin,plugins\infrastructure\subprocess_mixin,No,No,No,No,No
subprocess_runner,plugins\infrastructure\subprocess_runner,No,No,No,No,No
terminal,plugins\infrastructure\terminal,No,No,No,No,No
terminal_ws_unix,plugins\infrastructure\terminal_ws_unix,No,No,No,No,No
terrascan,plugins\infrastructure\terrascan,No,No,No,No,No
test_cli_vps_count,plugins\infrastructure\test_cli_vps_count,No,No,No,No,No
test_ensure_webs_all,plugins\infrastructure\test_ensure_webs_all,No,No,No,No,No
test_exec_context,plugins\infrastructure\test_exec_context,No,No,No,No,No
test_injection,plugins\infrastructure\test_injection,No,No,No,No,No
test_mcp_setup,plugins\infrastructure\test_mcp_setup,No,No,No,No,No
test_permutation_wordlist_select,plugins\infrastructure\test_permutation_wordlist_select,No,No,No,No,No
test_process_registry,plugins\infrastructure\test_process_registry,No,No,No,No,No
test_profile_migration,plugins\infrastructure\test_profile_migration,No,No,No,No,No
test_resolver_env,plugins\infrastructure\test_resolver_env,No,No,No,No,No
test_secure_credential,plugins\infrastructure\test_secure_credential,No,No,No,No,No
test_target_expander,plugins\infrastructure\test_target_expander,No,No,No,No,No
test_tracing_coverage,plugins\infrastructure\test_tracing_coverage,No,No,No,No,No
test_verbosity,plugins\infrastructure\test_verbosity,No,No,No,No,No
trivy,plugins\infrastructure\trivy,No,No,No,No,No
