File,Tool,Implementation Status,Missing Components
plugins\recon\CyberStrikeAITabDotIcon\plugin.py,CyberStrikeAITabDotIcon,Partially implemented,pass
plugins\recon\CyberStrikeAITabTestRun\plugin.py,CyberStrikeAITabTestRun,Partially implemented,pass
plugins\recon\CyberStrikeAITabTestRunCellRenderer\plugin.py,CyberStrikeAITabTestRunCellRenderer,Partially implemented,pass
plugins\recon\dalfox\plugin.py,dalfox,Partially implemented,pass
plugins\recon\dark-matter\plugin.py,dark-matter,Partially implemented,pass
plugins\recon\dark-mattertest\plugin.py,dark-mattertest,Partially implemented,pass
plugins\recon\dashboard\plugin.py,dashboard,Partially implemented,pass
plugins\recon\dashboard_1\plugin.py,dashboard_1,Partially implemented,pass
plugins\recon\dashboard_2\plugin.py,dashboard_2,Partially implemented,pass
plugins\recon\data-flow-mapper\plugin.py,data-flow-mapper,Partially implemented,pass
plugins\recon\DATA-PRIVACY\plugin.py,DATA-PRIVACY,Partially implemented,pass
plugins\recon\database_1\plugin.py,database_1,Partially implemented,pass
plugins\recon\datasources\plugin.py,datasources,Partially implemented,pass
plugins\recon\datasrcs\plugin.py,datasrcs,Partially implemented,pass
plugins\recon\datasrcs_test\plugin.py,datasrcs_test,Partially implemented,pass
plugins\recon\DeathNote_1\plugin.py,DeathNote_1,Partially implemented,pass
plugins\recon\debug\plugin.py,debug,Partially implemented,pass
plugins\recon\debug-world-model\plugin.py,debug-world-model,Partially implemented,pass
plugins\recon\DECISION\plugin.py,DECISION,Partially implemented,pass
plugins\recon\decision_engine\plugin.py,decision_engine,Partially implemented,pass
plugins\recon\decision_engine_1\plugin.py,decision_engine_1,Partially implemented,pass
plugins\recon\dedup\plugin.py,dedup,Partially implemented,pass
plugins\recon\deduplicator\plugin.py,deduplicator,Partially implemented,pass
plugins\recon\deepseek\plugin.py,deepseek,Partially implemented,pass
plugins\recon\deepseek_api\plugin.py,deepseek_api,Partially implemented,pass
plugins\recon\deepsource\plugin.py,deepsource,Partially implemented,pass
plugins\recon\default\plugin.py,default,Partially implemented,pass
plugins\recon\default_1\plugin.py,default_1,Partially implemented,pass
plugins\recon\default_single_system_prompt\plugin.py,default_single_system_prompt,Partially implemented,pass
plugins\recon\dep-auto-merge\plugin.py,dep-auto-merge,Partially implemented,pass
plugins\recon\dependabot_2\plugin.py,dependabot_2,Partially implemented,pass
plugins\recon\DEPENDENCIES\plugin.py,DEPENDENCIES,Partially implemented,pass
plugins\recon\dependency_graph\plugin.py,dependency_graph,Partially implemented,pass
plugins\recon\DEPLOYMENT\plugin.py,DEPLOYMENT,Partially implemented,pass
plugins\recon\deserialization\plugin.py,deserialization,Partially implemented,pass
plugins\recon\DESIGN-FEATURES\plugin.py,DESIGN-FEATURES,Partially implemented,pass
plugins\recon\detection-engineer\plugin.py,detection-engineer,Partially implemented,pass
plugins\recon\detection_engine\plugin.py,detection_engine,Partially implemented,pass
plugins\recon\detector\plugin.py,detector,Partially implemented,pass
plugins\recon\development\plugin.py,development,Partially implemented,pass
plugins\recon\diff\plugin.py,diff,Partially implemented,pass
plugins\recon\digitalyama\plugin.py,digitalyama,Partially implemented,pass
plugins\recon\digitorus\plugin.py,digitorus,Partially implemented,pass
plugins\recon\ding\plugin.py,ding,Partially implemented,pass
plugins\recon\dirbrute\plugin.py,dirbrute,Partially implemented,pass
plugins\recon\dirbuster\plugin.py,dirbuster,Partially implemented,pass
plugins\recon\dirbuster_2\plugin.py,dirbuster_2,Partially implemented,pass
plugins\recon\directories\plugin.py,directories,Partially implemented,pass
plugins\recon\dirsearch\plugin.py,dirsearch,Partially implemented,pass
plugins\recon\dirsearch_2\plugin.py,dirsearch_2,Partially implemented,pass
plugins\recon\dirsearch_tool\plugin.py,dirsearch_tool,Partially implemented,pass
plugins\recon\DISCLAIMER_2\plugin.py,DISCLAIMER_2,Partially implemented,pass
plugins\recon\dispatch\plugin.py,dispatch,Partially implemented,pass
plugins\recon\dispatcher\plugin.py,dispatcher,Partially implemented,pass
plugins\recon\dns\plugin.py,dns,Partially implemented,pass
plugins\recon\dns-reverse-lookup\plugin.py,dns-reverse-lookup,Partially implemented,pass
plugins\recon\dns-zone-transfer\plugin.py,dns-zone-transfer,Partially implemented,pass
plugins\recon\dnsdb\plugin.py,dnsdb,Partially implemented,pass
plugins\recon\dnsdumpster\plugin.py,dnsdumpster,Partially implemented,pass
plugins\recon\dnsenum\plugin.py,dnsenum,Partially implemented,pass
plugins\recon\dnsenum_tool\plugin.py,dnsenum_tool,Partially implemented,pass
plugins\recon\dnshistory\plugin.py,dnshistory,Partially implemented,pass
plugins\recon\dnslog\plugin.py,dnslog,Partially implemented,pass
plugins\recon\dnsrecon\plugin.py,dnsrecon,Partially implemented,pass
plugins\recon\dnsrecon-subdomain-bruteforce\plugin.py,dnsrecon-subdomain-bruteforce,Partially implemented,pass
plugins\recon\dnsrecon_tool\plugin.py,dnsrecon_tool,Partially implemented,pass
plugins\recon\dnsrepo\plugin.py,dnsrepo,Partially implemented,pass
plugins\recon\dnsrepo_2\plugin.py,dnsrepo_2,Partially implemented,pass
plugins\recon\dnsx\plugin.py,dnsx,Partially implemented,pass
plugins\recon\dnsx_tool\plugin.py,dnsx_tool,Partially implemented,pass
plugins\recon\dns_extractor\plugin.py,dns_extractor,Partially implemented,pass
plugins\recon\dns_intelligence\plugin.py,dns_intelligence,Fully implemented,
plugins\recon\dns_pipeline\plugin.py,dns_pipeline,Partially implemented,pass
plugins\recon\dns_test\plugin.py,dns_test,Partially implemented,pass
plugins\recon\dns_tool\plugin.py,dns_tool,Partially implemented,pass
plugins\recon\doc\plugin.py,doc,Partially implemented,pass
plugins\recon\Dockerfile\plugin.py,Dockerfile,Partially implemented,pass
plugins\recon\Dockerfile_1\plugin.py,Dockerfile_1,Partially implemented,pass
plugins\recon\Dockerfile_10\plugin.py,Dockerfile_10,Partially implemented,pass
plugins\recon\Dockerfile_11\plugin.py,Dockerfile_11,Partially implemented,pass
plugins\recon\Dockerfile_2\plugin.py,Dockerfile_2,Partially implemented,pass
plugins\recon\Dockerfile_5\plugin.py,Dockerfile_5,Partially implemented,pass
plugins\recon\Dockerfile_6\plugin.py,Dockerfile_6,Partially implemented,pass
plugins\recon\Dockerfile_8\plugin.py,Dockerfile_8,Partially implemented,pass
plugins\recon\dockerhub-push\plugin.py,dockerhub-push,Partially implemented,pass
plugins\recon\docs\plugin.py,docs,Partially implemented,pass
plugins\recon\docs_1\plugin.py,docs_1,Partially implemented,pass
plugins\recon\doctor\plugin.py,doctor,Partially implemented,pass
plugins\recon\documentation-agent\plugin.py,documentation-agent,Partially implemented,pass
plugins\recon\doc_1\plugin.py,doc_1,Partially implemented,pass
plugins\recon\doc_2\plugin.py,doc_2,Partially implemented,pass
plugins\recon\doc_3\plugin.py,doc_3,Partially implemented,pass
plugins\recon\domain-profiler\plugin.py,domain-profiler,Partially implemented,pass
plugins\recon\domainsproject\plugin.py,domainsproject,Partially implemented,pass
plugins\recon\domain_record\plugin.py,domain_record,Partially implemented,pass
plugins\recon\dom_xss\plugin.py,dom_xss,Partially implemented,pass
plugins\recon\dot\plugin.py,dot,Partially implemented,pass
plugins\recon\dotdotpwn\plugin.py,dotdotpwn,Partially implemented,pass
plugins\recon\dot_test\plugin.py,dot_test,Partially implemented,pass
plugins\recon\DPA\plugin.py,DPA,Partially implemented,pass
plugins\recon\driftnet\plugin.py,driftnet,Partially implemented,pass
plugins\recon\duckduckgo\plugin.py,duckduckgo,Partially implemented,pass
plugins\recon\efd01c52_findings\plugin.py,efd01c52_findings,Partially implemented,pass
plugins\recon\efd01c52_llm_coordinated_run\plugin.py,efd01c52_llm_coordinated_run,Partially implemented,pass
plugins\recon\efd01c52_probe_runs\plugin.py,efd01c52_probe_runs,Partially implemented,pass
plugins\recon\eino\plugin.py,eino,Partially implemented,pass
plugins\recon\eino_checkpoint\plugin.py,eino_checkpoint,Partially implemented,pass
plugins\recon\eino_execute_monitor\plugin.py,eino_execute_monitor,Partially implemented,pass
plugins\recon\eino_execute_streaming_wrap\plugin.py,eino_execute_streaming_wrap,Partially implemented,pass
plugins\recon\eino_exit_fallback_test\plugin.py,eino_exit_fallback_test,Partially implemented,pass
plugins\recon\eino_filesystem_tool_monitor\plugin.py,eino_filesystem_tool_monitor,Partially implemented,pass
plugins\recon\eino_input_telemetry\plugin.py,eino_input_telemetry,Partially implemented,pass
plugins\recon\eino_meta\plugin.py,eino_meta,Partially implemented,pass
plugins\recon\eino_middleware\plugin.py,eino_middleware,Partially implemented,pass
plugins\recon\eino_middleware_test\plugin.py,eino_middleware_test,Partially implemented,pass
plugins\recon\eino_model_facing_trace\plugin.py,eino_model_facing_trace,Partially implemented,pass
plugins\recon\eino_model_rewrite_pipeline\plugin.py,eino_model_rewrite_pipeline,Partially implemented,pass
plugins\recon\eino_orchestration\plugin.py,eino_orchestration,Partially implemented,pass
plugins\recon\eino_resume_segment\plugin.py,eino_resume_segment,Partially implemented,pass
plugins\recon\eino_retrieve_chain_test\plugin.py,eino_retrieve_chain_test,Partially implemented,pass
plugins\recon\eino_single_agent\plugin.py,eino_single_agent,Partially implemented,pass
plugins\recon\eino_single_runner\plugin.py,eino_single_runner,Partially implemented,pass
plugins\recon\eino_skills\plugin.py,eino_skills,Partially implemented,pass
plugins\recon\eino_sse_sanitizer\plugin.py,eino_sse_sanitizer,Partially implemented,pass
plugins\recon\eino_sse_sanitizer_test\plugin.py,eino_sse_sanitizer_test,Partially implemented,pass
plugins\recon\eino_summarize\plugin.py,eino_summarize,Partially implemented,pass
plugins\recon\eino_summarize_test\plugin.py,eino_summarize_test,Partially implemented,pass
plugins\recon\eino_test\plugin.py,eino_test,Partially implemented,pass
plugins\recon\eino_tool_name_injection\plugin.py,eino_tool_name_injection,Partially implemented,pass
plugins\recon\eino_transient_retry\plugin.py,eino_transient_retry,Partially implemented,pass
plugins\recon\eino_transient_retry_test\plugin.py,eino_transient_retry_test,Partially implemented,pass
plugins\recon\email\plugin.py,email,Partially implemented,pass
plugins\recon\embedding\plugin.py,embedding,Partially implemented,pass
plugins\recon\employees\plugin.py,employees,Partially implemented,pass
plugins\recon\en-US\plugin.py,en-US,Partially implemented,pass
plugins\recon\endpoint_classifier\plugin.py,endpoint_classifier,Partially implemented,pass
plugins\recon\engagement-planning\plugin.py,engagement-planning,Partially implemented,pass
plugins\recon\engine\plugin.py,engine,Partially implemented,pass
plugins\recon\engineapi\plugin.py,engineapi,Partially implemented,pass
plugins\recon\engineapi_test\plugin.py,engineapi_test,Partially implemented,pass
plugins\recon\engine_1\plugin.py,engine_1,Partially implemented,pass
plugins\recon\enhanced-report\plugin.py,enhanced-report,Partially implemented,pass
plugins\recon\entrypoint_1\plugin.py,entrypoint_1,Partially implemented,pass
plugins\recon\enum4linux\plugin.py,enum4linux,Partially implemented,pass
plugins\recon\enumerate\plugin.py,enumerate,Partially implemented,pass
plugins\recon\enumerate_test\plugin.py,enumerate_test,Partially implemented,pass
plugins\recon\envexpand\plugin.py,envexpand,Partially implemented,pass
plugins\recon\envexpand_test\plugin.py,envexpand_test,Partially implemented,pass
plugins\recon\env_1\plugin.py,env_1,Partially implemented,pass
plugins\recon\env_2\plugin.py,env_2,Partially implemented,pass
plugins\recon\env_4\plugin.py,env_4,Partially implemented,pass
plugins\recon\epistemic-reasoning\plugin.py,epistemic-reasoning,Partially implemented,pass
plugins\recon\EQBSL-Primer\plugin.py,EQBSL-Primer,Partially implemented,pass
plugins\recon\error\plugin.py,error,Partially implemented,pass
plugins\recon\error-formatter\plugin.py,error-formatter,Partially implemented,pass
plugins\recon\error-handling\plugin.py,error-handling,Partially implemented,pass
plugins\recon\ErrorPatternAnalyzertest\plugin.py,ErrorPatternAnalyzertest,Partially implemented,pass
plugins\recon\errors\plugin.py,errors,Partially implemented,pass
plugins\recon\eslintconfig\plugin.py,eslintconfig,Partially implemented,pass
plugins\recon\evaluator\plugin.py,evaluator,Partially implemented,pass
plugins\recon\events\plugin.py,events,Partially implemented,pass
plugins\recon\events_1\plugin.py,events_1,Partially implemented,pass
plugins\recon\EVIDENCE\plugin.py,EVIDENCE,Partially implemented,pass
plugins\recon\evidence-graph\plugin.py,evidence-graph,Partially implemented,pass
plugins\recon\evidence-normalizers\plugin.py,evidence-normalizers,Partially implemented,pass
plugins\recon\EvidenceCommand\plugin.py,EvidenceCommand,Partially implemented,pass
plugins\recon\example-blackbox-config\plugin.py,example-blackbox-config,Partially implemented,pass
plugins\recon\example-config\plugin.py,example-config,Partially implemented,pass
plugins\recon\example-config_1\plugin.py,example-config_1,Partially implemented,pass
plugins\recon\example-detection-rule\plugin.py,example-detection-rule,Partially implemented,pass
plugins\recon\example-engagement-plan\plugin.py,example-engagement-plan,Partially implemented,pass
plugins\recon\example-nmap-analysis\plugin.py,example-nmap-analysis,Partially implemented,pass
plugins\recon\example-report-excerpt\plugin.py,example-report-excerpt,Partially implemented,pass
plugins\recon\example_sqlmap\plugin.py,example_sqlmap,Partially implemented,pass
plugins\recon\example_sqlmap_1\plugin.py,example_sqlmap_1,Partially implemented,pass
plugins\recon\execute-python-script\plugin.py,execute-python-script,Partially implemented,pass
plugins\recon\execution\plugin.py,execution,Partially implemented,pass
plugins\recon\execution-log\plugin.py,execution-log,Partially implemented,pass
plugins\recon\execution-runner\plugin.py,execution-runner,Partially implemented,pass
plugins\recon\execution_view\plugin.py,execution_view,Partially implemented,pass
plugins\recon\executor\plugin.py,executor,Partially implemented,pass
plugins\recon\executor_2\plugin.py,executor_2,Partially implemented,pass
plugins\recon\executor_helpers\plugin.py,executor_helpers,Partially implemented,pass
plugins\recon\exif_metadata\plugin.py,exif_metadata,Partially implemented,pass
plugins\recon\explanation_engine\plugin.py,explanation_engine,Partially implemented,pass
plugins\recon\exporter\plugin.py,exporter,Partially implemented,pass
plugins\recon\exposure_classifier\plugin.py,exposure_classifier,Partially implemented,pass
plugins\recon\exposure_prioritizer\plugin.py,exposure_prioritizer,Partially implemented,pass
plugins\recon\express-scaffold\plugin.py,express-scaffold,Partially implemented,pass
plugins\recon\external-recon\plugin.py,external-recon,Partially implemented,pass
plugins\recon\external_manager\plugin.py,external_manager,Partially implemented,pass
plugins\recon\external_manager_test\plugin.py,external_manager_test,Partially implemented,pass
plugins\recon\external_mcp\plugin.py,external_mcp,Partially implemented,pass
plugins\recon\external_mcp_test\plugin.py,external_mcp_test,Partially implemented,pass
plugins\recon\extractor\plugin.py,extractor,Partially implemented,pass
plugins\recon\extract_cookie\plugin.py,extract_cookie,Partially implemented,pass
plugins\recon\eyewitness\plugin.py,eyewitness,Partially implemented,pass
plugins\recon\facebook\plugin.py,facebook,Partially implemented,pass
plugins\recon\falco\plugin.py,falco,Partially implemented,pass
plugins\recon\false_positive_filter\plugin.py,false_positive_filter,Partially implemented,pass
plugins\recon\fastapi-scaffold\plugin.py,fastapi-scaffold,Partially implemented,pass
plugins\recon\feature\plugin.py,feature,Partially implemented,pass
plugins\recon\feature-collector\plugin.py,feature-collector,Partially implemented,pass
plugins\recon\feature_2\plugin.py,feature_2,Partially implemented,pass
plugins\recon\feature_request\plugin.py,feature_request,Partially implemented,pass
plugins\recon\feature_request_3\plugin.py,feature_request_3,Partially implemented,pass
plugins\recon\feroxbuster\plugin.py,feroxbuster,Partially implemented,pass
plugins\recon\ffuf\plugin.py,ffuf,Partially implemented,pass
plugins\recon\ffuf_2\plugin.py,ffuf_2,Partially implemented,pass
plugins\recon\ffuf_tool\plugin.py,ffuf_tool,Partially implemented,pass
plugins\recon\fierce\plugin.py,fierce,Partially implemented,pass
plugins\recon\fierce_tool\plugin.py,fierce_tool,Partially implemented,pass
plugins\recon\file\plugin.py,file,Partially implemented,pass
plugins\recon\file-io\plugin.py,file-io,Partially implemented,pass
plugins\recon\file-operations\plugin.py,file-operations,Partially implemented,pass
plugins\recon\files\plugin.py,files,Partially implemented,pass
plugins\recon\file_upload_validation\plugin.py,file_upload_validation,Partially implemented,pass
plugins\recon\filter\plugin.py,filter,Partially implemented,pass
plugins\recon\filternet-bayes\plugin.py,filternet-bayes,Partially implemented,pass
plugins\recon\find\plugin.py,find,Partially implemented,pass
plugins\recon\findings_1\plugin.py,findings_1,Partially implemented,pass
plugins\recon\findings_db\plugin.py,findings_db,Partially implemented,pass
plugins\recon\findomain\plugin.py,findomain,Partially implemented,pass
plugins\recon\findsubdomains\plugin.py,findsubdomains,Partially implemented,pass
plugins\recon\fingerprinting\plugin.py,fingerprinting,Fully implemented,
plugins\recon\fingerprints\plugin.py,fingerprints,Partially implemented,pass
plugins\recon\fingerprint_correlator\plugin.py,fingerprint_correlator,Partially implemented,pass
plugins\recon\fofa\plugin.py,fofa,Partially implemented,pass
plugins\recon\fofa_2\plugin.py,fofa_2,Partially implemented,pass
plugins\recon\fofa_search\plugin.py,fofa_search,Partially implemented,pass
plugins\recon\forced_error\plugin.py,forced_error,Partially implemented,pass
plugins\recon\forensics-analyst\plugin.py,forensics-analyst,Partially implemented,pass
plugins\recon\fork-philosophy\plugin.py,fork-philosophy,Partially implemented,pass
plugins\recon\formatting\plugin.py,formatting,Partially implemented,pass
plugins\recon\fping_tool\plugin.py,fping_tool,Partially implemented,pass
plugins\recon\fqdn\plugin.py,fqdn,Partially implemented,pass
plugins\recon\fqdn_endpoint\plugin.py,fqdn_endpoint,Partially implemented,pass
plugins\recon\fqdn_lookup\plugin.py,fqdn_lookup,Partially implemented,pass
plugins\recon\frontend-i18n\plugin.py,frontend-i18n,Partially implemented,pass
plugins\recon\frontmatter\plugin.py,frontmatter,Partially implemented,pass
plugins\recon\fullhunt\plugin.py,fullhunt,Partially implemented,pass
plugins\recon\full_v0\plugin.py,full_v0,Partially implemented,pass
plugins\recon\full_v1\plugin.py,full_v1,Partially implemented,pass
plugins\recon\full_v2\plugin.py,full_v2,Partially implemented,pass
plugins\recon\functional\plugin.py,functional,Partially implemented,pass
plugins\recon\FUNDING_1\plugin.py,FUNDING_1,Partially implemented,pass
plugins\recon\fuzzy\plugin.py,fuzzy,Partially implemented,pass
plugins\recon\fuzz_wordlist\plugin.py,fuzz_wordlist,Partially implemented,pass
plugins\recon\gau\plugin.py,gau,Partially implemented,pass
plugins\recon\gau_2\plugin.py,gau_2,Partially implemented,pass
plugins\recon\gemini\plugin.py,gemini,Partially implemented,pass
plugins\recon\gemini_api\plugin.py,gemini_api,Partially implemented,pass
plugins\recon\generate-totp\plugin.py,generate-totp,Partially implemented,pass
plugins\recon\generator\plugin.py,generator,Partially implemented,pass
plugins\recon\generatorcpython-313\plugin.py,generatorcpython-313,Partially implemented,pass
plugins\recon\get-arch\plugin.py,get-arch,Partially implemented,pass
plugins\recon\getting-started\plugin.py,getting-started,Partially implemented,pass
plugins\recon\gexf\plugin.py,gexf,Partially implemented,pass
plugins\recon\gexf_test\plugin.py,gexf_test,Partially implemented,pass
plugins\recon\ghost-traffic\plugin.py,ghost-traffic,Partially implemented,pass
plugins\recon\ghost-traffictest\plugin.py,ghost-traffictest,Partially implemented,pass
plugins\recon\git-manager\plugin.py,git-manager,Partially implemented,pass
plugins\recon\gitbook\plugin.py,gitbook,Partially implemented,pass
plugins\recon\github\plugin.py,github,Partially implemented,pass
plugins\recon\github_subdomains\plugin.py,github_subdomains,Partially implemented,pass
plugins\recon\gitlab\plugin.py,gitlab,Partially implemented,pass
plugins\recon\gleif\plugin.py,gleif,Partially implemented,pass
plugins\recon\gleif_1\plugin.py,gleif_1,Partially implemented,pass
plugins\recon\glob\plugin.py,glob,Partially implemented,pass
plugins\recon\global\plugin.py,global,Partially implemented,pass
plugins\recon\gobuster\plugin.py,gobuster,Partially implemented,pass
plugins\recon\gobuster_2\plugin.py,gobuster_2,Partially implemented,pass
plugins\recon\gobuster_tool\plugin.py,gobuster_tool,Partially implemented,pass
plugins\recon\goreleaser\plugin.py,goreleaser,Partially implemented,pass
plugins\recon\goreleaser_1\plugin.py,goreleaser_1,Partially implemented,pass
plugins\recon\gospider\plugin.py,gospider,Partially implemented,pass
plugins\recon\gosum\plugin.py,gosum,Partially implemented,pass
plugins\recon\go_1\plugin.py,go_1,Partially implemented,pass
plugins\recon\go_4\plugin.py,go_4,Partially implemented,pass
plugins\recon\gpt4all_api\plugin.py,gpt4all_api,Partially implemented,pass
plugins\recon\graph\plugin.py,graph,Partially implemented,pass
plugins\recon\graphdb\plugin.py,graphdb,Partially implemented,pass
plugins\recon\graphdb_test\plugin.py,graphdb_test,Partially implemented,pass
plugins\recon\graphql\plugin.py,graphql,Partially implemented,pass
plugins\recon\graphql-scanner\plugin.py,graphql-scanner,Partially implemented,pass
plugins\recon\graphql_introspection\plugin.py,graphql_introspection,Partially implemented,pass
plugins\recon\graphql_scan\plugin.py,graphql_scan,Partially implemented,pass
plugins\recon\graphql_tool\plugin.py,graphql_tool,Partially implemented,pass
plugins\recon\grepapp\plugin.py,grepapp,Partially implemented,pass
plugins\recon\ground-truth-agent\plugin.py,ground-truth-agent,Partially implemented,pass
plugins\recon\ground-truth-validator\plugin.py,ground-truth-validator,Partially implemented,pass
plugins\recon\group\plugin.py,group,Partially implemented,pass
plugins\recon\guided\plugin.py,guided,Partially implemented,pass
plugins\recon\guided_recon\plugin.py,guided_recon,Partially implemented,pass
plugins\recon\guided_recon_1\plugin.py,guided_recon_1,Partially implemented,pass
plugins\recon\guided_recon_121\plugin.py,guided_recon_121,Partially implemented,pass
plugins\recon\guided_recon_122\plugin.py,guided_recon_122,Partially implemented,pass
plugins\recon\guided_view\plugin.py,guided_view,Partially implemented,pass
plugins\recon\hackertarget\plugin.py,hackertarget,Partially implemented,pass
plugins\recon\hackertarget_1\plugin.py,hackertarget_1,Partially implemented,pass
plugins\recon\hackertarget_3\plugin.py,hackertarget_3,Partially implemented,pass
plugins\recon\hakrawler\plugin.py,hakrawler,Partially implemented,pass
plugins\recon\hakrawler_tool\plugin.py,hakrawler_tool,Partially implemented,pass
plugins\recon\handlers\plugin.py,handlers,Partially implemented,pass
plugins\recon\harness\plugin.py,harness,Partially implemented,pass
plugins\recon\hashpump\plugin.py,hashpump,Partially implemented,pass
plugins\recon\headers\plugin.py,headers,Partially implemented,pass
plugins\recon\headers_inject\plugin.py,headers_inject,Partially implemented,pass
plugins\recon\header_checker\plugin.py,header_checker,Partially implemented,pass
plugins\recon\health-monitor\plugin.py,health-monitor,Partially implemented,pass
plugins\recon\hexstrike-ai-mcp\plugin.py,hexstrike-ai-mcp,Partially implemented,pass
plugins\recon\hexstrike_mcp\plugin.py,hexstrike_mcp,Partially implemented,pass
plugins\recon\hexstrike_server\plugin.py,hexstrike_server,Partially implemented,pass
plugins\recon\hidden_discovery\plugin.py,hidden_discovery,Partially implemented,pass
plugins\recon\hitl\plugin.py,hitl,Partially implemented,pass
plugins\recon\hitl_context\plugin.py,hitl_context,Partially implemented,pass
plugins\recon\hitl_middleware\plugin.py,hitl_middleware,Partially implemented,pass
plugins\recon\holder\plugin.py,holder,Partially implemented,pass
plugins\recon\host_header_reset_poisoning\plugin.py,host_header_reset_poisoning,Partially implemented,pass
plugins\recon\HTB_challenge_Template\plugin.py,HTB_challenge_Template,Partially implemented,pass
plugins\recon\http\plugin.py,http,Partially implemented,pass
plugins\recon\http-framework-test\plugin.py,http-framework-test,Partially implemented,pass
plugins\recon\httpbinorg__20260515_233823\plugin.py,httpbinorg__20260515_233823,Partially implemented,pass
plugins\recon\HttpMessageFormatter\plugin.py,HttpMessageFormatter,Partially implemented,pass
plugins\recon\HTTPMethodAnalyzertest\plugin.py,HTTPMethodAnalyzertest,Partially implemented,pass
plugins\recon\httpx\plugin.py,httpx,Partially implemented,"pass, mock"
plugins\recon\httpx_tool\plugin.py,httpx_tool,Partially implemented,pass
plugins\recon\http_clients\plugin.py,http_clients,Partially implemented,pass
plugins\recon\http_extractor\plugin.py,http_extractor,Partially implemented,pass
plugins\recon\http_headers\plugin.py,http_headers,Fully implemented,
plugins\recon\http_test\plugin.py,http_test,Partially implemented,pass
plugins\recon\hudsonrock\plugin.py,hudsonrock,Partially implemented,pass
plugins\recon\hunterio\plugin.py,hunterio,Partially implemented,pass
plugins\recon\i18n\plugin.py,i18n,Partially implemented,pass
plugins\recon\idor_authenticated\plugin.py,idor_authenticated,Partially implemented,pass
plugins\recon\idor_authz_differential\plugin.py,idor_authz_differential,Partially implemented,pass
plugins\recon\idor_sequential\plugin.py,idor_sequential,Partially implemented,pass
plugins\recon\impact-exfiltration\plugin.py,impact-exfiltration,Partially implemented,pass
plugins\recon\index\plugin.py,index,Partially implemented,pass
plugins\recon\indexer\plugin.py,indexer,Partially implemented,pass
plugins\recon\index_1\plugin.py,index_1,Partially implemented,pass
plugins\recon\index_10\plugin.py,index_10,Partially implemented,pass
plugins\recon\index_11\plugin.py,index_11,Partially implemented,pass
plugins\recon\index_12\plugin.py,index_12,Partially implemented,pass
plugins\recon\index_13\plugin.py,index_13,Partially implemented,pass
plugins\recon\index_14\plugin.py,index_14,Partially implemented,pass
plugins\recon\index_15\plugin.py,index_15,Partially implemented,pass
plugins\recon\index_16\plugin.py,index_16,Partially implemented,pass
plugins\recon\index_17\plugin.py,index_17,Partially implemented,pass
plugins\recon\index_2\plugin.py,index_2,Partially implemented,pass
plugins\recon\index_3\plugin.py,index_3,Partially implemented,pass
plugins\recon\index_4\plugin.py,index_4,Partially implemented,pass
plugins\recon\index_6\plugin.py,index_6,Partially implemented,pass
plugins\recon\index_7\plugin.py,index_7,Partially implemented,pass
plugins\recon\index_8\plugin.py,index_8,Partially implemented,pass
plugins\recon\index_9\plugin.py,index_9,Partially implemented,pass
plugins\recon\index_pipeline_test\plugin.py,index_pipeline_test,Partially implemented,pass
plugins\recon\inference\plugin.py,inference,Partially implemented,pass
plugins\recon\inferencetest\plugin.py,inferencetest,Partially implemented,pass
plugins\recon\info-collect\plugin.py,info-collect,Partially implemented,pass
plugins\recon\infrastructure_view\plugin.py,infrastructure_view,Partially implemented,pass
plugins\recon\ini\plugin.py,ini,Partially implemented,pass
plugins\recon\initialize\plugin.py,initialize,Partially implemented,pass
plugins\recon\input-validator\plugin.py,input-validator,Partially implemented,pass
plugins\recon\inputFiles\plugin.py,inputFiles,Partially implemented,pass
plugins\recon\install\plugin.py,install,Partially implemented,pass
plugins\recon\install-git-hooks\plugin.py,install-git-hooks,Partially implemented,pass
plugins\recon\install-python-package\plugin.py,install-python-package,Partially implemented,pass
plugins\recon\installation\plugin.py,installation,Partially implemented,pass
plugins\recon\install_1\plugin.py,install_1,Partially implemented,pass
plugins\recon\INSTALL_2\plugin.py,INSTALL_2,Partially implemented,pass
plugins\recon\install_4\plugin.py,install_4,Partially implemented,pass
plugins\recon\install_planner\plugin.py,install_planner,Partially implemented,pass
plugins\recon\install_preferences\plugin.py,install_preferences,Partially implemented,pass
plugins\recon\install_wizard\plugin.py,install_wizard,Partially implemented,pass
plugins\recon\integration\plugin.py,integration,Partially implemented,pass
plugins\recon\intelligence_concepts\plugin.py,intelligence_concepts,Partially implemented,pass
plugins\recon\intelligence_pipeline\plugin.py,intelligence_pipeline,Partially implemented,pass
plugins\recon\intelx\plugin.py,intelx,Partially implemented,pass
plugins\recon\interactive\plugin.py,interactive,Partially implemented,pass
plugins\recon\interrupt\plugin.py,interrupt,Partially implemented,pass
plugins\recon\introduction\plugin.py,introduction,Partially implemented,pass
plugins\recon\ipaddr\plugin.py,ipaddr,Partially implemented,pass
plugins\recon\ipaddr_endpoint\plugin.py,ipaddr_endpoint,Partially implemented,pass
plugins\recon\ipnet\plugin.py,ipnet,Partially implemented,pass
plugins\recon\ipverse\plugin.py,ipverse,Partially implemented,pass
plugins\recon\ip_netblock\plugin.py,ip_netblock,Partially implemented,pass
plugins\recon\issue-report\plugin.py,issue-report,Partially implemented,pass
