Repository,Tier
nmap-telnet,Tier 5
nmap-tftp,Tier 5
nmap_tool_1,Tier 5
onesixtyone,Tier 5
oracle-odat,Tier 5
oracle-scanner,Tier 5
oracle-tnscmd,Tier 5
parallel_scans,Tier 5
paths,Tier 5
portscan-top-tcp-ports,Tier 5
pre-commit-config_1,Tier 5
process_registry,Tier 5
pyproject_5,Tier 5
README_CN,Tier 5
README_CN_2,Tier 5
reconFTW,Tier 5
redirect-host-discovery,Tier 5
redis-cli,Tier 5
registry_2,Tier 5
release,Tier 5
requirements_14,Tier 5
requirements_15,Tier 5
requirements_5,Tier 5
resiliencetest,Tier 5
resolvers_test,Tier 5
resources,Tier 5
retrieval_postprocess_test,Tier 5
rigid,Tier 5
rigid_test,Tier 5
rpcclient,Tier 5
rpcdump,Tier 5
rsync-list-files,Tier 5
run,Tier 5
run-shannon-blackbox,Tier 5
run_all,Tier 5
run_bench,Tier 5
rustscan,Tier 5
rustscan_tool,Tier 5
server_https_bootstrap,Tier 5
shannon,Tier 5
showmount,Tier 5
sipvicious,Tier 5
sleep,Tier 5
smb-vuln,Tier 5
smbclient,Tier 5
smbmap,Tier 5
snmpwalk,Tier 5
SslTrustAll,Tier 5
subprocess_mixin,Tier 5
subprocess_runner,Tier 5
terminal_ws_unix,Tier 5
terrascan,Tier 5
test_cli_vps_count,Tier 5
test_ensure_webs_all,Tier 5
test_exec_context,Tier 5
test_injection,Tier 5
test_mcp_setup,Tier 5
test_permutation_wordlist_select,Tier 5
test_process_registry,Tier 5
test_profile_migration,Tier 5
test_resolver_env,Tier 5
test_secure_credential,Tier 5
test_target_expander,Tier 5
test_tracing_coverage,Tier 5
test_verbosity,Tier 5
trivy,Tier 5
tsconfig,Tier 5
tsconfigbase,Tier 5
tsconfig_1,Tier 5
turbo,Tier 5
webhooks,Tier 5
whatweb,Tier 5
winrm-detection,Tier 5
wordlist_test,Tier 5
_13,Tier 5
__init___201,Tier 5
__init___205,Tier 5
__init___51,Tier 5
activity-logger,Tier 5
activity-logger_1,Tier 5
bloodhound,Tier 5
domain-profiler,Tier 5
error-formatter,Tier 5
feature_request,Tier 5
file-io,Tier 5
file-operations,Tier 5
glob,Tier 5
input-validator,Tier 5
junit_xml,Tier 5
Keygraph_Button,Tier 5
metrics_1,Tier 5
progress-indicator,Tier 5
totp-validator,Tier 5
__init___207,Tier 5
ARCHITECTURE_2,Tier 5
bucket_exposure_engine,Tier 5
codeql,Tier 5
codeql-analysis,Tier 5
conversation_manager,Tier 5
dep-auto-merge,Tier 5
eino_meta,Tier 5
execution-runner,Tier 5
functional,Tier 5
gosum,Tier 5
health-monitor,Tier 5
index_2,Tier 1
meta-cognition,Tier 5
naabu,Tier 5
queue-validator,Tier 5
README_25,Tier 5
README_9,Tier 5
recorder,Tier 5
release-binary,Tier 5
release-test,Tier 5
rustscan_2,Tier 5
tests,Tier 5
update,Tier 5
vulnerability_1,Tier 5
__init___147,Tier 5
__init___224,Tier 5
__init___231,Tier 5
__init___57,Tier 5
auth_1,Tier 3
backfill-arch-data,Tier 5
conftest_1,Tier 3
contacts,Tier 5
COOKIES,Tier 5
credential_tester_agent,Tier 4
crtsh,Tier 1
email-osint-agent,Tier 4
environment,Tier 3
holehe,Tier 3
intel-collection,Tier 5
metadata,Tier 1
osint-collector,Tier 5
parsers_1,Tier 3
phoneinfoga,Tier 3
privacy_detect,Tier 3
sdk,Tier 3
smtp-user-enum,Tier 3
social_engineer_agent,Tier 4
splash-screen,Tier 3
test_probe_password_reset_weak,Tier 3
validation,Tier 3
vulnscan,Tier 2
whois_tool,Tier 3
_safety,Tier 3
__init___125,Tier 3
__init___128,Tier 3
arbiter,Tier 5
auth_2,Tier 5
debug-world-model,Tier 5
dotdotpwn,Tier 5
exposure_prioritizer,Tier 5
fingerprint_correlator,Tier 5
index_15,Tier 5
index_16,Tier 5
lint_python,Tier 5
main_7,Tier 4
model-registry,Tier 5
netexec,Tier 5
package,Tier 5
plugin_loader,Tier 5
portscan-guess-tcp-ports,Tier 5
README_12,Tier 5
registry_3,Tier 5
releaserc,Tier 5
renderers,Tier 5
test_plugin_loader,Tier 5
tools_commands,Tier 5
tooltipcpython-313,Tier 5
validatorcpython-313,Tier 5
volatility3,Tier 5
whatweb_2,Tier 5
__init__cpython-313,Tier 5
__init__cpython-313_1,Tier 5
__init___212,Tier 5
__init___213,Tier 5
__init___214,Tier 5
__init___215,Tier 5
__init___216,Tier 5
__init___217,Tier 5
__init___28,Tier 5
__init___43,Tier 5
__init___58,Tier 5
__init___71,Tier 5
2dd29513_findings,Tier 5
2dd29513_run_B_safe,Tier 5
acquifinder,Tier 5
active-crawl,Tier 2
active_recon,Tier 5
active_scanning,Tier 5
ad-attacker,Tier 5
adapter,Tier 1
addr,Tier 1
agent,Tier 4
AGENTS,Tier 5
AGENTS_1,Tier 5
agent_3,Tier 4
agent_loop,Tier 4
alerts,Tier 5
alerts_1,Tier 5
alienvault,Tier 1
alterx,Tier 1
amass,Tier 1
amass_2,Tier 5
analyze_repos,Tier 1
anomaly_detector,Tier 1
anomaly_engine,Tier 1
anthropic,Tier 1
anubis,Tier 1
apex,Tier 1
api-security,Tier 5
api_attack_surface,Tier 5
api_fingerprint,Tier 1
api_models,Tier 1
api_path_discovery,Tier 1
api_security_agent,Tier 4
api_surface_mapper,Tier 2
apply_triage_labels,Tier 2
aquatone,Tier 1
architect-infer-agent,Tier 4
ARCHITECTURE,Tier 5
ARCHITECTURE_1,Tier 5
arjun_tool,Tier 2
artifact-manifest,Tier 1
asn,Tier 5
asncache,Tier 1
asnmap,Tier 1
asn_intel,Tier 5
assetfinder,Tier 1
assets,Tier 1
assets_test,Tier 1
asset_classifier,Tier 1
asset_decode,Tier 1
asset_secrets_scan,Tier 2
assoc,Tier 1
attack-chain,Tier 5
attack-planner,Tier 5
attack-surface-enumeration,Tier 5
attack_surface_mapper,Tier 1
attack_surface_mapping,Tier 5
auth-flow-analyzer,Tier 1
authed-findings,Tier 5
authed-stderr,Tier 5
authenticated_scan,Tier 2
auth_handler,Tier 1
auth_session,Tier 1
autnum,Tier 1
autsys,Tier 1
autsys_1,Tier 1
axiom,Tier 1
backlog,Tier 1
backlog_1,Tier 1
backlog_test,Tier 1
banner,Tier 1
banners,Tier 1
banner_3,Tier 5
banner_url,Tier 1
base,Tier 1
base_3,Tier 1
base_5,Tier 2
benchmark_juice_shop,Tier 2
bevigil,Tier 1
bigbountyrecon,Tier 5
binaryedge,Tier 1
bing,Tier 1
blackbox-config-agent,Tier 4
blackbox-context,Tier 5
blacklist_test,Tier 1
book,Tier 5
browser-crawler-agent,Tier 4
browser_agent,Tier 4
bufferover,Tier 1
bufferoverrun,Tier 1
bug-bounty,Tier 5
bug_2,Tier 5
bug_report_2,Tier 5
bug_report_3,Tier 5
build-test,Tier 5
builder,Tier 1
builtwith,Tier 1
burp_suite,Tier 5
business_logic_fuzz,Tier 2
c1ae665a_findings,Tier 5
c1ae665a_run_A_default,Tier 5
c2-operator,Tier 5
c2_1,Tier 1
c99,Tier 1
capability_map,Tier 1
categories,Tier 1
censys,Tier 1
censys_test,Tier 1
certspotter,Tier 1
certspotter_2,Tier 1
chain_agent,Tier 4
CHANGELOG,Tier 5
CHANGELOG_121,Tier 5
CHANGELOG_122,Tier 5
CHANGELOG_123,Tier 5
CHANGELOG_13,Tier 5
CHANGELOG_14,Tier 5
CHANGELOG_15,Tier 5
CHANGELOG_16,Tier 5
CHANGELOG_17,Tier 5
CHANGELOG_18,Tier 5
CHANGELOG_181,Tier 5
CHANGELOG_182,Tier 5
CHANGELOG_19,Tier 5
CHANGELOG_2,Tier 5
CHANGELOG_20,Tier 5
CHANGELOG_3,Tier 5
chaos,Tier 1
chaos_2,Tier 1
chat_uploads,Tier 2
check_artifacts,Tier 2
check_artifacts_all,Tier 2
chinaz,Tier 1
chunk_eino,Tier 1
ci-cd,Tier 5
cicd-redteam,Tier 5
claims,Tier 4
CLAUDE_4,Tier 5
client_1,Tier 1
client_4,Tier 1
clitest,Tier 1
cli_1,Tier 1
cli_2,Tier 1
cli_3,Tier 1
cli_4,Tier 1
cli_5,Tier 1
cname,Tier 1
codecov,Tier 5
commoncrawl,Tier 2
common_2,Tier 1
company_enrich,Tier 1
company_rounds,Tier 1
company_search,Tier 1
compare_baseline,Tier 1
compliance,Tier 2
confidence_engine,Tier 1
config-parser,Tier 1
config-schema,Tier 5
config-schema_1,Tier 5
configtest,Tier 1
configure_mcp,Tier 1
config_1,Tier 1
config_test,Tier 1
const,Tier 2
constants_1,Tier 2
contact,Tier 1
container-api,Tier 5
content-discovery-agent,Tier 4
content_discovery,Tier 5
context_analyzer,Tier 1
contracts,Tier 1
CONTRIBUTING,Tier 5
CONTRIBUTING_5,Tier 5
cookie_prefix_bypass,Tier 1
core,Tier 1
correlation_engine,Tier 1
COVERAGE,Tier 5
COVERAGE_1,Tier 5
crawler,Tier 2
crawler-agent,Tier 4
crawlercpython-313,Tier 5
crawler_1,Tier 2
crawler_2,Tier 2
crawler_3,Tier 2
credential-tester,Tier 5
credentialed-scans,Tier 5
crlfuzz,Tier 2
crtsh_1,Tier 1
crtsh_3,Tier 1
csp_extractor,Tier 5
ctf-solver,Tier 5
curl,Tier 1
dalfox,Tier 5
dashboard_1,Tier 1
data-flow-mapper,Tier 1
database_1,Tier 1
datasources,Tier 5
DeathNote_1,Tier 5
decision_engine,Tier 1
decision_engine_1,Tier 1
dedup,Tier 1
deduplicator,Tier 1
DEPENDENCIES,Tier 5
DESIGN-FEATURES,Tier 5
detection-engineer,Tier 5
detection_engine,Tier 1
diff,Tier 1
digitalyama,Tier 1
digitorus,Tier 1
ding,Tier 1
dirbrute,Tier 1
dirbuster,Tier 2
dirbuster_2,Tier 2
directories,Tier 5
dirsearch,Tier 5
dirsearch_2,Tier 5
dirsearch_tool,Tier 2
DISCLAIMER_2,Tier 5
dispatch,Tier 1
dispatcher,Tier 1
dns,Tier 1
dns-reverse-lookup,Tier 1
dns-zone-transfer,Tier 1
dnsdb,Tier 1
dnsdumpster,Tier 1
dnsenum,Tier 1
dnsenum_tool,Tier 1
dnshistory,Tier 1
dnslog,Tier 5
dnsrecon,Tier 1
dnsrecon-subdomain-bruteforce,Tier 4
dnsrecon_tool,Tier 1
dnsrepo,Tier 1
dnsrepo_2,Tier 1
dnsx,Tier 5
dnsx_tool,Tier 1
dns_extractor,Tier 1
dns_intelligence,Tier 5
dns_pipeline,Tier 1
dns_test,Tier 1
dns_tool,Tier 1
doc,Tier 1
Dockerfile,Tier 5
Dockerfile_1,Tier 5
Dockerfile_10,Tier 5
Dockerfile_11,Tier 5
Dockerfile_2,Tier 5
Dockerfile_5,Tier 5
Dockerfile_6,Tier 5
Dockerfile_8,Tier 5
dockerhub-push,Tier 5
docs,Tier 5
docs_1,Tier 1
doctor,Tier 1
doc_1,Tier 1
doc_2,Tier 1
domainsproject,Tier 4
domain_record,Tier 4
dom_xss,Tier 1
dot,Tier 1
dot_test,Tier 1
driftnet,Tier 1
duckduckgo,Tier 1
efd01c52_findings,Tier 5
efd01c52_llm_coordinated_run,Tier 5
efd01c52_probe_runs,Tier 5
eino_tool_name_injection,Tier 2
email,Tier 4
employees,Tier 1
en-US,Tier 5
engine,Tier 1
engineapi,Tier 1
engine_1,Tier 1
enhanced-report,Tier 2
enumerate,Tier 1
enumerate_test,Tier 1
epistemic-reasoning,Tier 5
evaluator,Tier 1
EVIDENCE,Tier 5
evidence-graph,Tier 1
evidence-normalizers,Tier 1
example-blackbox-config,Tier 5
example-config,Tier 5
example-config_1,Tier 5
example-detection-rule,Tier 5
example-engagement-plan,Tier 5
example-nmap-analysis,Tier 5
example-report-excerpt,Tier 5
example_sqlmap,Tier 2
example_sqlmap_1,Tier 2
execution,Tier 1
execution-log,Tier 5
execution_view,Tier 1
executor,Tier 2
executor_helpers,Tier 1
exif_metadata,Tier 1
explanation_engine,Tier 1
exploit-chainer,Tier 5
exploit-guide,Tier 5
exploit-ssrf,Tier 5
exploit-ssrf_2,Tier 5
exporter,Tier 1
exposure_classifier,Tier 1
external-recon,Tier 5
extractor,Tier 1
false_positive_filter,Tier 1
fastapi-scaffold,Tier 1
feature_request_3,Tier 5
feroxbuster,Tier 2
ffuf,Tier 5
ffuf_2,Tier 5
ffuf_tool,Tier 2
fierce,Tier 5
fierce_tool,Tier 1
file,Tier 1
files,Tier 1
file_upload_validation,Tier 1
filter,Tier 1
filternet-bayes,Tier 5
find,Tier 1
findings_1,Tier 5
findings_db,Tier 1
findomain,Tier 4
findsubdomains,Tier 4
fingerprinting,Tier 1
fingerprints,Tier 1
fofa,Tier 1
fofa_2,Tier 1
fofa_search,Tier 5
forensics-analyst,Tier 5
fork-philosophy,Tier 5
fping_tool,Tier 1
fqdn,Tier 1
fqdn_endpoint,Tier 1
fqdn_lookup,Tier 1
fullhunt,Tier 1
full_v0,Tier 5
full_v1,Tier 5
full_v2,Tier 5
FUNDING_1,Tier 5
fuzzy,Tier 1
fuzz_wordlist,Tier 5
gau,Tier 1
gau_2,Tier 5
generator,Tier 2
generatorcpython-313,Tier 5
gexf,Tier 1
gexf_test,Tier 1
ghost-traffic,Tier 2
ghost-traffictest,Tier 2
gitbook,Tier 5
github,Tier 1
github_subdomains,Tier 4
gitlab,Tier 1
gleif,Tier 1
gleif_1,Tier 1
global,Tier 5
gobuster,Tier 5
gobuster_2,Tier 5
gobuster_tool,Tier 1
goreleaser_1,Tier 5
gospider,Tier 1
go_1,Tier 5
go_4,Tier 5
graph,Tier 1
graphdb,Tier 1
graphdb_test,Tier 1
graphql_scan,Tier 5
grepapp,Tier 1
ground-truth-validator,Tier 1
guided,Tier 1
guided_recon,Tier 1
guided_recon_1,Tier 1
guided_recon_121,Tier 1
guided_recon_122,Tier 1
guided_view,Tier 1
hackertarget_1,Tier 1
hackertarget_3,Tier 1
hakrawler,Tier 5
hakrawler_tool,Tier 1
handlers,Tier 1
headers,Tier 1
header_checker,Tier 2
hexstrike_mcp,Tier 1
hexstrike_server,Tier 1
HTB_challenge_Template,Tier 5
http,Tier 1
http-framework-test,Tier 5
httpbinorg__20260515_233823,Tier 5
httpx,Tier 5
httpx_tool,Tier 1
http_clients,Tier 1
http_headers,Tier 5
http_test,Tier 1
hudsonrock,Tier 1
hunterio,Tier 1
i18n,Tier 1
idor_sequential,Tier 1
index_10,Tier 2
index_11,Tier 1
index_6,Tier 1
index_8,Tier 1
index_pipeline_test,Tier 1
info-collect,Tier 1
infrastructure_view,Tier 1
ini,Tier 1
initialize,Tier 1
inputFiles,Tier 5
install,Tier 1
installation,Tier 5
install_1,Tier 2
install_4,Tier 1
install_planner,Tier 2
install_wizard,Tier 1
integration,Tier 1
intelligence_concepts,Tier 5
intelligence_pipeline,Tier 1
intelx,Tier 1
interactive,Tier 1
introduction,Tier 5
ipaddr,Tier 1
ipaddr_endpoint,Tier 1
ipnet,Tier 1
ipverse,Tier 1
ip_netblock,Tier 1
issue-report,Tier 5
jarm,Tier 1
jsluice_patterns,Tier 5
js_analyzer,Tier 1
juice-shop,Tier 5
katana,Tier 5
katana_2,Tier 5
katana_tool,Tier 1
kiterunner,Tier 1
kiterunner_tool,Tier 1
knowledge-base,Tier 5
knowledge_base_1,Tier 1
known_fqdn,Tier 1
kubernetes_analyzer,Tier 1
leaked_credentials,Tier 1
leakix,Tier 1
leakix_2,Tier 1
learning_mode,Tier 1
ledger,Tier 1
LegacyPentestRunner,Tier 1
lei_record,Tier 1
lfi_wordlist,Tier 5
library,Tier 2
LICENSE_14,Tier 5
LICENSE_3,Tier 5
linkedin,Tier 5
listener,Tier 1
listener_http,Tier 1
listener_websocket,Tier 2
live_capture,Tier 1
llm-analyzer,Tier 1
llm-app-redteam,Tier 5
llm-redteam,Tier 5
llm_analysis,Tier 5
load,Tier 1
local-source-generator,Tier 5
location,Tier 1
locations,Tier 1
location_1,Tier 1
log,Tier 1
logo_1,Tier 5
logs,Tier 1
main_1,Tier 4
main_10,Tier 4
main_11,Tier 4
main_17,Tier 4
main_18,Tier 4
main_2,Tier 4
main_6,Tier 4
main_9,Tier 4
main_server_tls,Tier 4
Makefile_2,Tier 5
Makefile_3,Tier 5
malicious,Tier 5
maltego,Tier 1
malware-analyst,Tier 5
manager_1,Tier 1
mapcidr,Tier 1
mapping,Tier 5
markers,Tier 1
marketplace,Tier 1
massdns,Tier 1
massdns_tool,Tier 1
match,Tier 1
mcp-management,Tier 5
mcp-stdio2,Tier 5
menu,Tier 1
merklemap,Tier 1
metasploit-agent,Tier 4
methodology_engine,Tier 1
mobile_agent,Tier 4
mock_pipelinetest,Tier 2
ModelCommand,Tier 1
models_2,Tier 1
modes,Tier 1
MODS,Tier 5
MSSQLInjection,Tier 5
naabu_tool,Tier 1
namelist,Tier 5
netblock,Tier 1
netblock_1,Tier 1
netdiscover_tool,Tier 1
netlas,Tier 1
network-recon,Tier 1
networks,Tier 1
network_discovery,Tier 5
nextjs_rsc_rce,Tier 1
next_step_predictor,Tier 1
nikto_2,Tier 5
nmap-ajp,Tier 2
nmap-cassandra,Tier 2
nmap-cups,Tier 2
nmap-dns,Tier 1
nmap-ftp,Tier 2
nmap-http,Tier 2
nmap-imap,Tier 2
nmap-ldap,Tier 2
nmap-mongodb,Tier 2
nmap-mountd,Tier 2
nmap-mssql,Tier 2
nmap-multicast-dns,Tier 1
nmap-mysql,Tier 2
nmap-nfs,Tier 2
nmap-ntp,Tier 2
nmap-oracle,Tier 2
nmap-pop3,Tier 2
nmap-rdp,Tier 2
nmap-rsync,Tier 2
nmap-smb,Tier 2
nmap-smtp,Tier 2
nmap-snmp,Tier 2
nmap-vnc,Tier 2
normalization,Tier 1
nosql_fuzz,Tier 1
notify,Tier 5
nuclei,Tier 5
nuclei-agent,Tier 4
nuclei-template-sha,Tier 5
nuclei_2,Tier 5
nuclei_tool,Tier 1
oauth_pkce_downgrade,Tier 1
ollama,Tier 1
onyphe,Tier 1
operations_center,Tier 1
opsec-anonymizer,Tier 5
options_2,Tier 1
OracleSQLInjection,Tier 5
org,Tier 1
orgs,Tier 1
org_1,Tier 1
org_lei,Tier 1
outputter,Tier 1
package-lock,Tier 5
parallel,Tier 1
parameter_discovery,Tier 5
paramspider,Tier 1
parse,Tier 1
parsers,Tier 1
parser_mixin,Tier 1
parse_test,Tier 1
passive,Tier 1
passivetotal,Tier 1
passive_recon,Tier 5
payload-crafter,Tier 5
pcap_parser,Tier 1
pentest-mcp-server,Tier 5
PentestGPT-720WebShareName,Tier 5
pentestGPT_HTB_phonebook_failed,Tier 5
pentestGPT_log_HTB_Precious,Tier 5
pentesting,Tier 2
permutations_list,Tier 5
permutations_list_short,Tier 5
phishing-operator,Tier 5
pipelines,Tier 1
pipeline_engine,Tier 1
planner,Tier 1
playbook,Tier 2
plugin,Tier 1
plugin_1,Tier 1
plugin_10,Tier 1
plugin_11,Tier 1
plugin_12,Tier 2
plugin_2,Tier 1
plugin_4,Tier 1
plugin_5,Tier 1
plugin_6,Tier 1
plugin_7,Tier 1
plugin_8,Tier 1
plugin_manager,Tier 1
portscan,Tier 2
port_prioritizer,Tier 1
PostgreSQLInjection,Tier 5
pre-recon,Tier 1
preflight,Tier 1
preflight-check,Tier 2
print,Tier 1
PRIVACY,Tier 5
probes,Tier 2
process,Tier 1
profundis,Tier 1
prompt_class_v1,Tier 2
prompt_class_v2,Tier 2
prospeo,Tier 1
protocol_detector,Tier 1
proxy_controller,Tier 1
pseudo-source-builder,Tier 1
ptt_reasoning,Tier 2
pugrecon,Tier 1
PULL_REQUEST_TEMPLATE,Tier 5
PULL_REQUEST_TEMPLATE_2,Tier 5
puredns,Tier 1
puredns_tool,Tier 1
pure_go,Tier 1
pyproject_2,Tier 5
pyproject_4,Tier 5
pyshark_engine,Tier 1
pythonorg_headers_20241216_000049,Tier 5
pythonorg_subdomains_20241215_235829,Tier 5
quake,Tier 1
quick_action_bar,Tier 1
radare2,Tier 5
ranger,Tier 1
rapiddns,Tier 1
rapiddns_2,Tier 1
ratelimit_test,Tier 1
rdap,Tier 1
README,Tier 5
README_1,Tier 5
README_16,Tier 5
README_17,Tier 5
README_18,Tier 5
README_2,Tier 5
README_20,Tier 5
README_23,Tier 5
README_24,Tier 5
README_26,Tier 5
README_27,Tier 5
README_3,Tier 5
README_36,Tier 5
README_39,Tier 5
README_4,Tier 5
README_41,Tier 5
README_42,Tier 5
README_43,Tier 5
README_44,Tier 5
README_45,Tier 5
README_47,Tier 5
README_48,Tier 5
README_49,Tier 5
README_5,Tier 5
README_51,Tier 5
README_52,Tier 5
README_53,Tier 5
README_57,Tier 5
README_58,Tier 5
README_7,Tier 5
README_8,Tier 5
README_CN_1,Tier 5
README_EN,Tier 5
realdemo,Tier 5
realdemo-paced,Tier 5
recommend,Tier 5
recommendation_engine,Tier 1
recommendation_engine_1,Tier 1
recon-advisor,Tier 5
reconeer,Tier 1
reconftw,Tier 1
reconftw_1,Tier 5
reconftw_full,Tier 5
reconftw_quick,Tier 5
reconftw_stealth,Tier 5
recon_2,Tier 5
recon_agent,Tier 4
recon_strategy,Tier 1
redhuntlabs,Tier 1
registry_1,Tier 1
registry_121,Tier 1
registry_122,Tier 1
registry_123,Tier 1
registry_181,Tier 1
registry_182,Tier 1
registry_5,Tier 1
registry_test,Tier 1
reg_records,Tier 1
related,Tier 1
relationship_graph,Tier 1
relationship_mapper,Tier 1
renderer,Tier 1
replay_engine,Tier 2
report-executive_1,Tier 5
report-executive_2,Tier 5
reporter,Tier 1
reporthtml,Tier 5
reporting-cherrytree,Tier 1
reporting-markdown,Tier 1
report_121,Tier 1
report_14,Tier 1
report_15,Tier 1
report_16,Tier 1
report_17,Tier 1
report_generator,Tier 1
report_injector_2,Tier 1
requirements,Tier 5
requirements_11,Tier 5
requirements_12,Tier 5
requirements_16,Tier 5
requirements_2,Tier 5
requirements_3,Tier 5
requirements_8,Tier 5
requirements_9,Tier 5
resilience,Tier 1
resolve,Tier 1
resolvers,Tier 1
resolvers_1,Tier 1
resolver_manager,Tier 1
resource_availability,Tier 4
responder,Tier 5
response_headers,Tier 2
RESPONSIBLE_DISCLOSURE,Tier 5
rest_api,Tier 5
reverse,Tier 1
reverse-engineer,Tier 5
riddler,Tier 1
risk_mapper,Tier 1
risk_scorer,Tier 1
risk_scoring,Tier 1
ROADMAP,Tier 5
robtext,Tier 1
rollback-beta,Tier 5
runner_1,Tier 2
runner_3,Tier 1
run_benchmarks,Tier 1
run_dvwa_engagement,Tier 1
run_dvwa_full,Tier 1
run_summary,Tier 5
run_summary_1,Tier 5
run_tests,Tier 1
save_results,Tier 1
scan4all,Tier 5
scanners,Tier 2
scanner_5,Tier 2
scan_optimizer,Tier 2
scheduler,Tier 1
schemas,Tier 1
schemas_1,Tier 1
scope_1,Tier 1
scope_test,Tier 1
SCORE,Tier 5
SCORE_1,Tier 5
SCORE_2,Tier 5
Screenshot1,Tier 5
search_2,Tier 1
secretscfg,Tier 5
SECURITY,Tier 5
security-header-analyzer,Tier 1
SecurityHeaderAnalyzer,Tier 1
securitytrails,Tier 4
securitytrails_2,Tier 4
SECURITY_2,Tier 5
security_tools,Tier 2
sensitive_detector,Tier 1
sensitive_domains,Tier 5
server_1,Tier 1
server_2,Tier 2
server_3,Tier 2
service_correlator,Tier 1
service_detection,Tier 5
service_learning,Tier 1
session,Tier 1
sessions,Tier 1
session_manager,Tier 1
settings_1,Tier 1
setup_2,Tier 1
severity_engine,Tier 2
shadow-it,Tier 1
shadow-ittest,Tier 1
shannon-action,Tier 5
SHANNON-PRO,Tier 5
shannon-report-crapi,Tier 5
shannon-report-juice-shop,Tier 5
shannon-scan,Tier 5
shannon-screen_1,Tier 5
shodan_recon_plugin,Tier 1
shuffledns,Tier 1
shuffledns_tool,Tier 1
sitedossier,Tier 1
sitedossier_2,Tier 1
SKILL_19,Tier 5
SKILL_2,Tier 5
SKILL_20,Tier 5
SKILL_22,Tier 5
SKILL_23,Tier 5
SKILL_5,Tier 5
SKILL_6,Tier 5
SKILL_8,Tier 5
smart-scan,Tier 5
smart-scan-expanded-toolset,Tier 5
smart-scan-on-search,Tier 5
solution,Tier 5
solved-challenges,Tier 5
sources,Tier 1
sources_test,Tier 1
sources_wo_auth_test,Tier 1
sources_w_auth_test,Tier 1
spa_probes,Tier 2
SPEC,Tier 5
spiderfoot,Tier 1
spotter,Tier 1
sqli_fuzz,Tier 1
sqli_login_bypass,Tier 2
SQLmap,Tier 5
sqlmap-agent,Tier 4
srv,Tier 1
ssh_manager,Tier 1
ssl,Tier 5
sslscan,Tier 2
ssl_checker,Tier 2
ssti_fuzz,Tier 1
ssti_stored,Tier 2
stage121_catalog,Tier 1
stage121_web,Tier 2
stage122_catalog,Tier 1
stage123_catalog,Tier 1
STAGE2,Tier 5
start,Tier 1
stats,Tier 1
stderr,Tier 5
stderr_1,Tier 5
stdout,Tier 5
stdout_1,Tier 5
stealth_crawler,Tier 2
stig-analyst,Tier 5
subdomain,Tier 4
subdomain-enumeration,Tier 4
subdomain-hunter-agent,Tier 4
subdomains,Tier 4
subdomainstxt,Tier 5
subdomains_1,Tier 5
subdomains_2,Tier 5
subdomains_v0,Tier 5
subdomains_v1,Tier 5
subdomains_v2,Tier 5
subfinder,Tier 1
subfinder-logo,Tier 5
subfinder-run,Tier 5
subfinder_2,Tier 5
sublist3r_tool,Tier 1
submd,Tier 1
SUBPROCESSORS,Tier 5
subs,Tier 1
suggestion_engine,Tier 1
support,Tier 1
support_test,Tier 1
surface_mapping,Tier 5
swagger,Tier 5
swarm-orchestrator,Tier 5
tag_engine,Tier 1
takeover_detector,Tier 1
target-model,Tier 1
targets,Tier 1
target_classifier,Tier 1
task-management,Tier 5
tech-fingerprinter-agent,Tier 4
tech_detection,Tier 5
templates,Tier 1
template_manager,Tier 1
TERMS,Tier 5
test-lsg-v2,Tier 5
test-suite,Tier 5
test1,Tier 5
test2,Tier 5
testssl,Tier 1
test_agents_parallel,Tier 4
test_api_security_e2e_smoke,Tier 2
test_api_server,Tier 1
test_arjun_integration,Tier 1
test_authenticated_scan_coverage,Tier 2
test_auth_profiles_smoke,Tier 1
test_auth_scan_e2e_smoke,Tier 2
test_auth_session,Tier 1
test_auth_session_bearer_flow,Tier 1
test_browser_agent_e2e_smoke,Tier 4
test_browser_crawler,Tier 2
test_cache,Tier 2
test_checkpoint,Tier 5
test_ci_mode,Tier 1
test_cli,Tier 1
test_cli_auth_coverage,Tier 1
test_common,Tier 5
test_core,Tier 2
test_csrf_auth_e2e_smoke,Tier 1
test_dashboard,Tier 1
test_dedup,Tier 2
test_dns_resolver_auto,Tier 5
test_e2e_probes,Tier 1
test_engagement_lifecycle_e2e,Tier 1
test_evidence,Tier 2
test_evidence_contract,Tier 1
test_exports,Tier 5
test_export_cli,Tier 5
test_full_flow,Tier 5
test_full_workflow,Tier 2
test_handler_meta,Tier 1
test_hitl_coverage,Tier 1
test_install_preferences,Tier 2
test_integration_dvwa,Tier 1
test_juiceshop_e2e_smoke,Tier 1
test_list_targets,Tier 5
test_llm_redteam,Tier 1
test_mcp_auth_profile,Tier 1
test_mcp_honeypot_e2e,Tier 2
test_mcp_security_tools,Tier 2
test_mcp_server_coverage,Tier 1
test_misc_coverage,Tier 2
test_mobile_agent_e2e_smoke,Tier 4
test_monitor,Tier 5
test_monitor_mode,Tier 5
test_new_tool_integrations,Tier 5
test_observation_normalization,Tier 2
test_os_execution,Tier 2
test_parallel,Tier 5
test_payload_library,Tier 2
test_perf_profile,Tier 5
test_phase6,Tier 5
test_primitives_evidence_capture,Tier 1
test_probe_asset_secrets,Tier 1
test_probe_business_logic_fuzz,Tier 2
test_probe_captcha_replay,Tier 1
test_probe_crawler,Tier 2
test_probe_exif_metadata,Tier 1
