Repository,Integration Difficulty,Maintenance Cost,Dependency Complexity,Execution Complexity
ssti_polyglot,Extreme,Extreme,Extreme,Extreme
status,Extreme,Extreme,Extreme,Extreme
stored_xss,Extreme,Extreme,Extreme,Extreme
style,Extreme,Extreme,Extreme,Extreme
sub_agent_context,Extreme,Extreme,Extreme,Extreme
sub_agent_context_test,Extreme,Extreme,Extreme,Extreme
SUMMARY,Extreme,Extreme,Extreme,Extreme
swagger_2,Extreme,Extreme,Extreme,Extreme
swagger_parser,Extreme,Extreme,Extreme,Extreme
tasks,Extreme,Extreme,Extreme,Extreme
telemetry,Extreme,Extreme,Extreme,Extreme
terminal,Extreme,Extreme,Extreme,Extreme
test-cortex-integration,Extreme,Extreme,Extreme,Extreme
test-gen-agent,Extreme,Extreme,Extreme,Extreme
testLogin,Extreme,Extreme,Extreme,Extreme
test_agent_loop,Extreme,Extreme,Extreme,Extreme
test_agent_mode_cli,Extreme,Extreme,Extreme,Extreme
test_anthropic_agent,Extreme,Extreme,Extreme,Extreme
test_auth_profiles,Extreme,Extreme,Extreme,Extreme
test_auth_profile_cli,Extreme,Extreme,Extreme,Extreme
test_auth_runner,Extreme,Extreme,Extreme,Extreme
test_benchmarks_scoring_common,Extreme,Extreme,Extreme,Extreme
test_browser_agent,Extreme,Extreme,Extreme,Extreme
test_chain,Extreme,Extreme,Extreme,Extreme
test_chain_quality,Extreme,Extreme,Extreme,Extreme
test_config,Extreme,Extreme,Extreme,Extreme
test_connection,Extreme,Extreme,Extreme,Extreme
test_handler_web_probes,Extreme,Extreme,Extreme,Extreme
test_langfuse_1,Extreme,Extreme,Extreme,Extreme
test_legacy_probe_migration,Extreme,Extreme,Extreme,Extreme
test_llm,Extreme,Extreme,Extreme,Extreme
test_llm_e2e_smoke,Extreme,Extreme,Extreme,Extreme
test_mcp_action_surface,Extreme,Extreme,Extreme,Extreme
test_new_high_roi_probes,Extreme,Extreme,Extreme,Extreme
test_probe_cors_reflection,Extreme,Extreme,Extreme,Extreme
test_probe_coupon_forging,Extreme,Extreme,Extreme,Extreme
test_probe_cve_poc,Extreme,Extreme,Extreme,Extreme
test_probe_deserialization,Extreme,Extreme,Extreme,Extreme
test_probe_dom_xss,Extreme,Extreme,Extreme,Extreme
test_probe_file_upload_validation,Extreme,Extreme,Extreme,Extreme
test_probe_forced_error,Extreme,Extreme,Extreme,Extreme
test_probe_graphql_introspection,Extreme,Extreme,Extreme,Extreme
test_probe_hidden_discovery,Extreme,Extreme,Extreme,Extreme
test_probe_host_header_reset_poisoning,Extreme,Extreme,Extreme,Extreme
test_probe_idor_authenticated,Extreme,Extreme,Extreme,Extreme
test_probe_idor_authz_differential,Extreme,Extreme,Extreme,Extreme
test_probe_idor_sequential,Extreme,Extreme,Extreme,Extreme
test_probe_ldap_injection,Extreme,Extreme,Extreme,Extreme
test_probe_mass_assignment,Extreme,Extreme,Extreme,Extreme
test_probe_path_traversal,Extreme,Extreme,Extreme,Extreme
test_probe_primitives,Extreme,Extreme,Extreme,Extreme
test_probe_prototype_pollution,Extreme,Extreme,Extreme,Extreme
test_probe_race_condition,Extreme,Extreme,Extreme,Extreme
test_probe_reflected_xss,Extreme,Extreme,Extreme,Extreme
test_probe_registry,Extreme,Extreme,Extreme,Extreme
test_probe_ssti_stored,Extreme,Extreme,Extreme,Extreme
test_probe_stored_xss,Extreme,Extreme,Extreme,Extreme
test_probe_web3,Extreme,Extreme,Extreme,Extreme
test_probe_web_cache_deception,Extreme,Extreme,Extreme,Extreme
test_probe_xxe_upload,Extreme,Extreme,Extreme,Extreme
test_providers,Extreme,Extreme,Extreme,Extreme
test_registry_bridge,Extreme,Extreme,Extreme,Extreme
test_scope,Extreme,Extreme,Extreme,Extreme
test_spa_probes,Extreme,Extreme,Extreme,Extreme
test_specialist_agents_coverage,Extreme,Extreme,Extreme,Extreme
test_stage1,Extreme,Extreme,Extreme,Extreme
test_tracing_and_telemetry,Extreme,Extreme,Extreme,Extreme
test_working_memory,Extreme,Extreme,Extreme,Extreme
tracing,Extreme,Extreme,Extreme,Extreme
traffic_parser,Extreme,Extreme,Extreme,Extreme
train-filternet,Extreme,Extreme,Extreme,Extreme
train-simple,Extreme,Extreme,Extreme,Extreme
TROUBLESHOOTING,Extreme,Extreme,Extreme,Extreme
truncate,Extreme,Extreme,Extreme,Extreme
trusted_header_bypass,Extreme,Extreme,Extreme,Extreme
types,Extreme,Extreme,Extreme,Extreme
unauthed-decision-log,Extreme,Extreme,Extreme,Extreme
upgrade,Extreme,Extreme,Extreme,Extreme
urlscan,Extreme,Extreme,Extreme,Extreme
utils_2,Extreme,Extreme,Extreme,Extreme
vuln-auth_3,Extreme,Extreme,Extreme,Extreme
vuln-ssrf_3,Extreme,Extreme,Extreme,Extreme
vulnerability,Extreme,Extreme,Extreme,Extreme
wayback,Extreme,Extreme,Extreme,Extreme
waybackurls,Extreme,Extreme,Extreme,Extreme
web3_probe,Extreme,Extreme,Extreme,Extreme
webshell,Extreme,Extreme,Extreme,Extreme
web_intelligence_view,Extreme,Extreme,Extreme,Extreme
web_parser,Extreme,Extreme,Extreme,Extreme
web_probes,Extreme,Extreme,Extreme,Extreme
wechat-robot,Extreme,Extreme,Extreme,Extreme
wechat_robot,Extreme,Extreme,Extreme,Extreme
wordlist,Extreme,Extreme,Extreme,Extreme
workflow-errors,Extreme,Extreme,Extreme,Extreme
workflows,Extreme,Extreme,Extreme,Extreme
workflow_engine_1,Extreme,Extreme,Extreme,Extreme
wpscan,Extreme,Extreme,Extreme,Extreme
writer,Extreme,Extreme,Extreme,Extreme
xxe_upload,Extreme,Extreme,Extreme,Extreme
zap,Extreme,Extreme,Extreme,Extreme
__init___112,Extreme,Extreme,Extreme,Extreme
__init___115,Extreme,Extreme,Extreme,Extreme
__init___116,Extreme,Extreme,Extreme,Extreme
__init___142,Extreme,Extreme,Extreme,Extreme
__init___146,Extreme,Extreme,Extreme,Extreme
__init___153,Extreme,Extreme,Extreme,Extreme
__init___203,Extreme,Extreme,Extreme,Extreme
__init___22,Extreme,Extreme,Extreme,Extreme
__init___34,Extreme,Extreme,Extreme,Extreme
__init___64,Extreme,Extreme,Extreme,Extreme
builtin-tools,Extreme,Extreme,Extreme,Extreme
CyberStrikeAIClientStreamListener,Extreme,Extreme,Extreme,Extreme
CyberStrikeAITab1,Extreme,Extreme,Extreme,Extreme
CyberStrikeAITabDotIcon,Extreme,Extreme,Extreme,Extreme
headers_inject,Extreme,Extreme,Extreme,Extreme
hexstrike-ai-mcp,Extreme,Extreme,Extreme,Extreme
main,Extreme,Extreme,Extreme,Extreme
mcp,Extreme,Extreme,Extreme,Extreme
mcp_tools_test,Extreme,Extreme,Extreme,Extreme
monitor_1,Extreme,Extreme,Extreme,Extreme
options,Extreme,Extreme,Extreme,Extreme
README_6,Extreme,Extreme,Extreme,Extreme
SimpleJson,Extreme,Extreme,Extreme,Extreme
sse_keepalive,Extreme,Extreme,Extreme,Extreme
SslTrustAll1,Extreme,Extreme,Extreme,Extreme
SslTrustAllTimeoutSslSocketFactory,Extreme,Extreme,Extreme,Extreme
test_file_transfer,Extreme,Extreme,Extreme,Extreme
test_handlers_misc,Extreme,Extreme,Extreme,Extreme
__init___38,Extreme,Extreme,Extreme,Extreme
__init___55,Extreme,Extreme,Extreme,Extreme
__main__,Extreme,Extreme,Extreme,Extreme
404StarLinkLogo,Extreme,Extreme,Extreme,Extreme
agent-management,Extreme,Extreme,Extreme,Extreme
agents-for,Extreme,Extreme,Extreme,Extreme
ai_analysis,Extreme,Extreme,Extreme,Extreme
alterations,Extreme,Extreme,Extreme,Extreme
announcements,Extreme,Extreme,Extreme,Extreme
AUP,Extreme,Extreme,Extreme,Extreme
auth_profiles,Extreme,Extreme,Extreme,Extreme
aws,Extreme,Extreme,Extreme,Extreme
aws_recon,Extreme,Extreme,Extreme,Extreme
aws_sm,Extreme,Extreme,Extreme,Extreme
azure,Extreme,Extreme,Extreme,Extreme
azure_recon,Extreme,Extreme,Extreme,Extreme
banner_2,Extreme,Extreme,Extreme,Extreme
benchmark_runner,Extreme,Extreme,Extreme,Extreme
bizlogic-hunter,Extreme,Extreme,Extreme,Extreme
bucket_correlator,Extreme,Extreme,Extreme,Extreme
bug_report,Extreme,Extreme,Extreme,Extreme
ccr-config-template,Extreme,Extreme,Extreme,Extreme
chat,Extreme,Extreme,Extreme,Extreme
chatgpt_config_curl,Extreme,Extreme,Extreme,Extreme
ChatGPT_key,Extreme,Extreme,Extreme,Extreme
checkov,Extreme,Extreme,Extreme,Extreme
ci_1,Extreme,Extreme,Extreme,Extreme
ci_cd_cloud,Extreme,Extreme,Extreme,Extreme
ci_cd_cloud_mapper,Extreme,Extreme,Extreme,Extreme
claude-executor,Extreme,Extreme,Extreme,Extreme
CLAUDE_2,Extreme,Extreme,Extreme,Extreme
CLAUDE_3,Extreme,Extreme,Extreme,Extreme
clear,Extreme,Extreme,Extreme,Extreme
cli,Extreme,Extreme,Extreme,Extreme
cloud-security,Extreme,Extreme,Extreme,Extreme
cloudfront_mapper,Extreme,Extreme,Extreme,Extreme
cloudmapper,Extreme,Extreme,Extreme,Extreme
cloud_agent,Extreme,Extreme,Extreme,Extreme
cloud_attack_surface,Extreme,Extreme,Extreme,Extreme
cloud_enum,Extreme,Extreme,Extreme,Extreme
cloud_fingerprint,Extreme,Extreme,Extreme,Extreme
cloud_models,Extreme,Extreme,Extreme,Extreme
cloud_pipeline,Extreme,Extreme,Extreme,Extreme
cloud_storage,Extreme,Extreme,Extreme,Extreme
conftest_2,Extreme,Extreme,Extreme,Extreme
container-breakout,Extreme,Extreme,Extreme,Extreme
CUSTOMIZATION,Extreme,Extreme,Extreme,Extreme
CyberStrikeAITab,Extreme,Extreme,Extreme,Extreme
dec-2025,Extreme,Extreme,Extreme,Extreme
demo,Extreme,Extreme,Extreme,Extreme
demo_1,Extreme,Extreme,Extreme,Extreme
dependabot_3,Extreme,Extreme,Extreme,Extreme
devcontainer,Extreme,Extreme,Extreme,Extreme
DISCLAIMER,Extreme,Extreme,Extreme,Extreme
docker,Extreme,Extreme,Extreme,Extreme
docker-compose,Extreme,Extreme,Extreme,Extreme
docker-compose_1,Extreme,Extreme,Extreme,Extreme
docker-compose_2,Extreme,Extreme,Extreme,Extreme
docker-compose_3,Extreme,Extreme,Extreme,Extreme
Dockerfile_4,Extreme,Extreme,Extreme,Extreme
Dockerfile_7,Extreme,Extreme,Extreme,Extreme
Dockerfile_9,Extreme,Extreme,Extreme,Extreme
docker_2,Extreme,Extreme,Extreme,Extreme
docker_manager,Extreme,Extreme,Extreme,Extreme
docker_nightly,Extreme,Extreme,Extreme,Extreme
docker_registry_analyzer,Extreme,Extreme,Extreme,Extreme
domains,Extreme,Extreme,Extreme,Extreme
embedder,Extreme,Extreme,Extreme,Extreme
engagement-planner,Extreme,Extreme,Extreme,Extreme
entrypoint,Medium,Medium,Medium,Medium
env,Extreme,Extreme,Extreme,Extreme
env_3,Extreme,Extreme,Extreme,Extreme
example-stig-finding,Extreme,Extreme,Extreme,Extreme
executor_test,Extreme,Extreme,Extreme,Extreme
exploit-auth,Extreme,Extreme,Extreme,Extreme
exploit-authz,Extreme,Extreme,Extreme,Extreme
exploit-authz_2,Extreme,Extreme,Extreme,Extreme
exploit-auth_2,Extreme,Extreme,Extreme,Extreme
exploit-injection,Extreme,Extreme,Extreme,Extreme
exploit-xss,Extreme,Extreme,Extreme,Extreme
exploit-xss_2,Extreme,Extreme,Extreme,Extreme
export_menu,Extreme,Extreme,Extreme,Extreme
factory,Extreme,Extreme,Extreme,Extreme
fill-legal,Extreme,Extreme,Extreme,Extreme
fingerprinter,Extreme,Extreme,Extreme,Extreme
fingerprintertest,Extreme,Extreme,Extreme,Extreme
fix-workspace-permissions,Medium,Medium,Medium,Medium
gcp,Extreme,Extreme,Extreme,Extreme
gcp_recon,Extreme,Extreme,Extreme,Extreme
github-banner,Extreme,Extreme,Extreme,Extreme
gitleaks,Extreme,Extreme,Extreme,Extreme
go_2,Extreme,Extreme,Extreme,Extreme
graphw00f,Extreme,Extreme,Extreme,Extreme
hexstrike-logo,Extreme,Extreme,Extreme,Extreme
home,Extreme,Extreme,Extreme,Extreme
index_5,Extreme,Extreme,Extreme,Extreme
javascript,Extreme,Extreme,Extreme,Extreme
js-harvester-agent,Extreme,Extreme,Extreme,Extreme
kube-bench,Extreme,Extreme,Extreme,Extreme
kube-hunter,Extreme,Extreme,Extreme,Extreme
kubernetes,Extreme,Extreme,Extreme,Extreme
launch-config,Extreme,Extreme,Extreme,Extreme
leaksapi-banner,Extreme,Extreme,Extreme,Extreme
leaksapi-logo,Extreme,Extreme,Extreme,Extreme
LICENSE_5,Extreme,Extreme,Extreme,Extreme
litellm_provider,Extreme,Extreme,Extreme,Extreme
logo_3,Extreme,Extreme,Extreme,Extreme
main_13,Extreme,Extreme,Extreme,Extreme
main_menu,Extreme,Extreme,Extreme,Extreme
Makefile,Extreme,Extreme,Extreme,Extreme
mindmap_obsidian,Extreme,Extreme,Extreme,Extreme
misconfig-detector,Extreme,Extreme,Extreme,Extreme
misconfigtest,Extreme,Extreme,Extreme,Extreme
mobile-pentester,Extreme,Extreme,Extreme,Extreme
mode,Extreme,Extreme,Extreme,Extreme
orchestrator,Extreme,Extreme,Extreme,Extreme
outputs,Extreme,Extreme,Extreme,Extreme
package_3,Extreme,Extreme,Extreme,Extreme
pacu,Extreme,Extreme,Extreme,Extreme
pentestgpt_executor,Extreme,Extreme,Extreme,Extreme
PentestGPT_Hackable2,Extreme,Extreme,Extreme,Extreme
plugins,Extreme,Extreme,Extreme,Extreme
pnpm-lock,Extreme,Extreme,Extreme,Extreme
poc-validator,Extreme,Extreme,Extreme,Extreme
pre-recon-code,Extreme,Extreme,Extreme,Extreme
privesc-advisor,Extreme,Extreme,Extreme,Extreme
privesc_agent,Extreme,Extreme,Extreme,Extreme
prowler,Extreme,Extreme,Extreme,Extreme
pyproject_3,Extreme,Extreme,Extreme,Extreme
quick-start,Extreme,Extreme,Extreme,Extreme
README_21,Extreme,Extreme,Extreme,Extreme
README_22,Extreme,Extreme,Extreme,Extreme
README_28,Extreme,Extreme,Extreme,Extreme
README_29,Extreme,Extreme,Extreme,Extreme
README_30,Extreme,Extreme,Extreme,Extreme
reconcloud,Extreme,Extreme,Extreme,Extreme
reconx,Medium,Medium,Medium,Medium
release-beta,Extreme,Extreme,Extreme,Extreme
release_1,Extreme,Extreme,Extreme,Extreme
requirements_7,Extreme,Extreme,Extreme,Extreme
resolver,Extreme,Extreme,Extreme,Extreme
results,Extreme,Extreme,Extreme,Extreme
role-management,Extreme,Extreme,Extreme,Extreme
rollback,Extreme,Extreme,Extreme,Extreme
rsecloud,Extreme,Extreme,Extreme,Extreme
s3scanner,Extreme,Extreme,Extreme,Extreme
s3_scanner,Extreme,Extreme,Extreme,Extreme
sarif,Extreme,Extreme,Extreme,Extreme
scan_pipeline,Extreme,Extreme,Extreme,Extreme
scan_running,Extreme,Extreme,Extreme,Extreme
scout-suite,Extreme,Extreme,Extreme,Extreme
Screenshot2,Extreme,Extreme,Extreme,Extreme
Screenshot3,Extreme,Extreme,Extreme,Extreme
Screenshot4,Extreme,Extreme,Extreme,Extreme
secret-scanner-agent,Extreme,Extreme,Extreme,Extreme
secure_credential,Extreme,Extreme,Extreme,Extreme
security,Extreme,Extreme,Extreme,Extreme
SECURITY_3,Extreme,Extreme,Extreme,Extreme
selection_agent,Extreme,Extreme,Extreme,Extreme
server_mcp_pentest_18,Extreme,Extreme,Extreme,Extreme
service_analyzer,Extreme,Extreme,Extreme,Extreme
service_correlator_1,Extreme,Extreme,Extreme,Extreme
settings_2,Extreme,Extreme,Extreme,Extreme
setup,Extreme,Extreme,Extreme,Extreme
setup_1,Extreme,Extreme,Extreme,Extreme
shannon-banner,Extreme,Extreme,Extreme,Extreme
SHANNON-PRO_1,Extreme,Extreme,Extreme,Extreme
shannon-report-capital-api,Extreme,Extreme,Extreme,Extreme
shannon-screen,Extreme,Extreme,Extreme,Extreme
shodan,Extreme,Extreme,Extreme,Extreme
six2dez_reconftw-stars-history,Extreme,Extreme,Extreme,Extreme
SKILL_1,Extreme,Extreme,Extreme,Extreme
SKILL_14,Extreme,Extreme,Extreme,Extreme
SKILL_16,Extreme,Extreme,Extreme,Extreme
SKILL_17,Extreme,Extreme,Extreme,Extreme
SKILL_4,Extreme,Extreme,Extreme,Extreme
social-engineer,Extreme,Extreme,Extreme,Extreme
sponsor-wechat-alipay-qr,Extreme,Extreme,Extreme,Extreme
ssrf_cloud_metadata,Extreme,Extreme,Extreme,Extreme
ssrf_payloads,Extreme,Extreme,Extreme,Extreme
stop,Extreme,Extreme,Extreme,Extreme
tch,Extreme,Extreme,Extreme,Extreme
tcp_beacon_server,Extreme,Extreme,Extreme,Extreme
teardown,Medium,Medium,Medium,Medium
techdetect,Extreme,Extreme,Extreme,Extreme
terraform-reconFTW,Extreme,Extreme,Extreme,Extreme
test_ad_agent_e2e_smoke,Extreme,Extreme,Extreme,Extreme
test_agents,Extreme,Extreme,Extreme,Extreme
test_benchmark_cli,Extreme,Extreme,Extreme,Extreme
test_chain_context_discriminator,Extreme,Extreme,Extreme,Extreme
test_cli_menu,Extreme,Extreme,Extreme,Extreme
test_cloud_agent_e2e_smoke,Extreme,Extreme,Extreme,Extreme
test_container_health,Extreme,Extreme,Extreme,Extreme
test_docker_build,Extreme,Extreme,Extreme,Extreme
test_flag_detection,Extreme,Extreme,Extreme,Extreme
test_litellm_provider,Extreme,Extreme,Extreme,Extreme
test_misc_coverage_2,Extreme,Extreme,Extreme,Extreme
test_probe_ssrf_cloud_metadata,Extreme,Extreme,Extreme,Extreme
test_providers_and_small_agents,Extreme,Extreme,Extreme,Extreme
test_selection_agent,Extreme,Extreme,Extreme,Extreme
trufflehog,Extreme,Extreme,Extreme,Extreme
type_confusion,Extreme,Extreme,Extreme,Extreme
uninstall,Extreme,Extreme,Extreme,Extreme
USAGE,Extreme,Extreme,Extreme,Extreme
usage_input,Extreme,Extreme,Extreme,Extreme
usage_output,Extreme,Extreme,Extreme,Extreme
usage_server1,Extreme,Extreme,Extreme,Extreme
usage_server2,Extreme,Extreme,Extreme,Extreme
variables,Extreme,Extreme,Extreme,Extreme
vectorDB,Extreme,Extreme,Extreme,Extreme
vuln-auth,Extreme,Extreme,Extreme,Extreme
vuln-authz,Extreme,Extreme,Extreme,Extreme
vuln-authz_2,Extreme,Extreme,Extreme,Extreme
vuln-auth_2,Extreme,Extreme,Extreme,Extreme
vuln-injection,Extreme,Extreme,Extreme,Extreme
vuln-injection_2,Extreme,Extreme,Extreme,Extreme
vuln-xss,Extreme,Extreme,Extreme,Extreme
vuln-xss_2,Extreme,Extreme,Extreme,Extreme
vulnerability-management,Extreme,Extreme,Extreme,Extreme
waf-detector-agent,Extreme,Extreme,Extreme,Extreme
wafw00f,Extreme,Extreme,Extreme,Extreme
web-console,Extreme,Extreme,Extreme,Extreme
wechat-group-cyberstrikeai-qr,Extreme,Extreme,Extreme,Extreme
workflow_center,Extreme,Extreme,Extreme,Extreme
workspaces,Extreme,Extreme,Extreme,Extreme
zh-CN,Extreme,Extreme,Extreme,Extreme
_10,Extreme,Extreme,Extreme,Extreme
__init___119,Extreme,Extreme,Extreme,Extreme
__init___26,Extreme,Extreme,Extreme,Extreme
__init___78,Extreme,Extreme,Extreme,Extreme
osint,Extreme,Extreme,Extreme,Extreme
test_osint_domain_info_msftrecon,Extreme,Extreme,Extreme,Extreme
whois,Extreme,Extreme,Extreme,Extreme
common,Extreme,Extreme,Extreme,Extreme
hashpump,Extreme,Extreme,Extreme,Extreme
libc-database,Extreme,Extreme,Extreme,Extreme
linpeas,Extreme,Extreme,Extreme,Extreme
one-gadget,Extreme,Extreme,Extreme,Extreme
output_parser,Extreme,Extreme,Extreme,Extreme
pwninit,Extreme,Extreme,Extreme,Extreme
README_31,Extreme,Extreme,Extreme,Extreme
score_juiceshop,Extreme,Extreme,Extreme,Extreme
steghide,Extreme,Extreme,Extreme,Extreme
test_session,Extreme,Extreme,Extreme,Extreme
zsteg,Extreme,Extreme,Extreme,Extreme
__init___219,Extreme,Extreme,Extreme,Extreme
AGENT-GUIDE,Extreme,Extreme,Extreme,Extreme
agent_mode_controller,Extreme,Extreme,Extreme,Extreme
attackchain_1,Extreme,Extreme,Extreme,Extreme
balanced-active-scan,Extreme,Extreme,Extreme,Extreme
BigQueryInjection,Extreme,Extreme,Extreme,Extreme
cache,Extreme,Extreme,Extreme,Extreme
CassandraInjection,Extreme,Extreme,Extreme,Extreme
checkpoint-provider,Extreme,Extreme,Extreme,Extreme
concurrency,Extreme,Extreme,Extreme,Extreme
container,Extreme,Extreme,Extreme,Extreme
context,Extreme,Extreme,Extreme,Extreme
conversation_1,Extreme,Extreme,Extreme,Extreme
cve_mapper,Extreme,Extreme,Extreme,Extreme
cvss,Extreme,Extreme,Extreme,Extreme
database,Extreme,Extreme,Extreme,Extreme
DB2Injection,Extreme,Extreme,Extreme,Extreme
db_1,Extreme,Extreme,Extreme,Extreme
db_test,Extreme,Extreme,Extreme,Extreme
deliverables,Extreme,Extreme,Extreme,Extreme
detection_agent,Extreme,Extreme,Extreme,Extreme
eino_adk_run_loop,Extreme,Extreme,Extreme,Extreme
eino_meta_test,Extreme,Extreme,Extreme,Extreme
eino_retriever_adapter,Extreme,Extreme,Extreme,Extreme
eino_retrieve_chain,Extreme,Extreme,Extreme,Extreme
eino_sqlite_indexer,Extreme,Extreme,Extreme,Extreme
endpoint-prober,Extreme,Extreme,Extreme,Extreme
ErrorPatternAnalyzer,Extreme,Extreme,Extreme,Extreme
exploit-auth_1,Extreme,Extreme,Extreme,Extreme
exploit-auth_3,Extreme,Extreme,Extreme,Extreme
exploit-injection_1,Extreme,Extreme,Extreme,Extreme
exploit-injection_3,Extreme,Extreme,Extreme,Extreme
exploit-ssrf_1,Extreme,Extreme,Extreme,Extreme
exploit-ssrf_3,Extreme,Extreme,Extreme,Extreme
exploit-xss_1,Extreme,Extreme,Extreme,Extreme
exploit-xss_3,Extreme,Extreme,Extreme,Extreme
exploitation-checker,Extreme,Extreme,Extreme,Extreme
export,Extreme,Extreme,Extreme,Extreme
export-metrics,Extreme,Extreme,Extreme,Extreme
finalizers,Extreme,Extreme,Extreme,Extreme
findings,Extreme,Extreme,Extreme,Extreme
FINDINGS-DB,Extreme,Extreme,Extreme,Extreme
findings-provider,Extreme,Extreme,Extreme,Extreme
findings-renderer,Extreme,Extreme,Extreme,Extreme
generators,Extreme,Extreme,Extreme,Extreme
gowitness,Extreme,Extreme,Extreme,Extreme
Hackable2_3,Extreme,Extreme,Extreme,Extreme
handoff,Extreme,Extreme,Extreme,Extreme
index_pipeline,Extreme,Extreme,Extreme,Extreme
Kioptrix_level_1,Extreme,Extreme,Extreme,Extreme
listener_http_test,Extreme,Extreme,Extreme,Extreme
manager,Extreme,Extreme,Extreme,Extreme
manager_start_test,Extreme,Extreme,Extreme,Extreme
menu_system,Extreme,Extreme,Extreme,Extreme
metasploit,Extreme,Extreme,Extreme,Extreme
metasploit_aux,Extreme,Extreme,Extreme,Extreme
metatron,Extreme,Extreme,Extreme,Extreme
migrate,Extreme,Extreme,Extreme,Extreme
net-recon-agent,Extreme,Extreme,Extreme,Extreme
nikto,Extreme,Extreme,Extreme,Extreme
nmap-distccd,Extreme,Extreme,Extreme,Extreme
nmap_2,Extreme,Extreme,Extreme,Extreme
notification,Extreme,Extreme,Extreme,Extreme
output-formatter,Extreme,Extreme,Extreme,Extreme
output-formatters,Extreme,Extreme,Extreme,Extreme
payloads,Extreme,Extreme,Extreme,Extreme
pentestTarget,Extreme,Extreme,Extreme,Extreme
pipeline,Extreme,Extreme,Extreme,Extreme
primitives,Extreme,Extreme,Extreme,Extreme
prompt_class,Extreme,Extreme,Extreme,Extreme
pwntools,Extreme,Extreme,Extreme,Extreme
query-execution-result,Extreme,Extreme,Extreme,Extreme
queue-schemas,Extreme,Extreme,Extreme,Extreme
queue-validation,Extreme,Extreme,Extreme,Extreme
report-executive,Extreme,Extreme,Extreme,Extreme
report-executive_3,Extreme,Extreme,Extreme,Extreme
report-generator,Extreme,Extreme,Extreme,Extreme
reporting,Medium,Medium,Medium,Medium
requester,Extreme,Extreme,Extreme,Extreme
requestercpython-313,Extreme,Extreme,Extreme,Extreme
retriever,Extreme,Extreme,Extreme,Extreme
schema,Extreme,Extreme,Extreme,Extreme
schema_migrate,Extreme,Extreme,Extreme,Extreme
session-manager,Extreme,Extreme,Extreme,Extreme
settings-writer,Extreme,Extreme,Extreme,Extreme
SKILL_10,Extreme,Extreme,Extreme,Extreme
SKILL_15,Extreme,Extreme,Extreme,Extreme
SKILL_21,Extreme,Extreme,Extreme,Extreme
target,Extreme,Extreme,Extreme,Extreme
task,Extreme,Extreme,Extreme,Extreme
test_aup_consent,Extreme,Extreme,Extreme,Extreme
test_benchmark_registry,Extreme,Extreme,Extreme,Extreme
test_chain_dedup,Extreme,Extreme,Extreme,Extreme
test_chain_validation,Extreme,Extreme,Extreme,Extreme
test_cve_db,Extreme,Extreme,Extreme,Extreme
test_cvss,Extreme,Extreme,Extreme,Extreme
test_diff,Extreme,Extreme,Extreme,Extreme
test_findings,Extreme,Extreme,Extreme,Extreme
test_findings_db_reaper,Extreme,Extreme,Extreme,Extreme
test_findings_db_reconciler,Extreme,Extreme,Extreme,Extreme
test_handler_finalizers,Extreme,Extreme,Extreme,Extreme
test_intensity_safe,Extreme,Extreme,Extreme,Extreme
test_orchestrator,Extreme,Extreme,Extreme,Extreme
test_probe_cookie_prefix_bypass,Extreme,Extreme,Extreme,Extreme
test_probe_jwt_jku_x5u_ssrf,Extreme,Extreme,Extreme,Extreme
test_probe_nextjs_rsc_rce,Extreme,Extreme,Extreme,Extreme
test_probe_saml_xsw,Extreme,Extreme,Extreme,Extreme
test_probe_sqli_login_bypass,Extreme,Extreme,Extreme,Extreme
test_sarif,Extreme,Extreme,Extreme,Extreme
test_webhooks,Extreme,Extreme,Extreme,Extreme
tls-analyzer,Extreme,Extreme,Extreme,Extreme
TOKEN-OPTIMIZATION,Extreme,Extreme,Extreme,Extreme
tool,Extreme,Extreme,Extreme,Extreme
types_5,Extreme,Extreme,Extreme,Extreme
vuln-authz_3,Extreme,Extreme,Extreme,Extreme
vuln-injection_3,Extreme,Extreme,Extreme,Extreme
vuln-mapper,Extreme,Extreme,Extreme,Extreme
vuln-mappertest,Extreme,Extreme,Extreme,Extreme
vuln-ssrf_1,Extreme,Extreme,Extreme,Extreme
vuln-xss_1,Extreme,Extreme,Extreme,Extreme
vuln-xss_3,Extreme,Extreme,Extreme,Extreme
worker,Extreme,Extreme,Extreme,Extreme
working_memory,Extreme,Extreme,Extreme,Extreme
xsser,Extreme,Extreme,Extreme,Extreme
_exploit-scope,Extreme,Extreme,Extreme,Extreme
_exploit-scope_1,Extreme,Extreme,Extreme,Extreme
_vuln-scope,Extreme,Extreme,Extreme,Extreme
_vuln-scope_1,Extreme,Extreme,Extreme,Extreme
active,Extreme,Extreme,Extreme,Extreme
active_test,Extreme,Extreme,Extreme,Extreme
auth_manager,Extreme,Extreme,Extreme,Extreme
basic_scan,Extreme,Extreme,Extreme,Extreme
beacon_host,Extreme,Extreme,Extreme,Extreme
brute,Extreme,Extreme,Extreme,Extreme
bruteforce-ftp,Extreme,Extreme,Extreme,Extreme
bruteforce-http,Extreme,Extreme,Extreme,Extreme
bruteforce-rdp,Extreme,Extreme,Extreme,Extreme
bruteforce-smb,Extreme,Extreme,Extreme,Extreme
bruteforce-ssh,Extreme,Extreme,Extreme,Extreme
brute_test,Extreme,Extreme,Extreme,Extreme
cgo_specific,Extreme,Extreme,Extreme,Extreme
